Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 40000. RT flexibility: 2.5. Blank can be this fraction of a sample: 5. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2020-06-28 13:09:35. 
"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","BlankFlag","Flags","QC_area"
"30","170821_Smp_1314P_A","I195.0765R10.08_HILICPos",9.33,25617,0,"7201",-4.7,NA,NA,"areaminFlag",10.59,NA,0,NA,"areaminFlag, ",NA
"31","170821_Smp_1314P_B","I195.0765R10.08_HILICPos",2.42,14191,0,"3389",1,NA,NA,"areaminFlag",10.59,"RTFlag",0,NA,"areaminFlag, RTFlag, ",NA
"32","170821_Smp_1314P_C","I195.0765R10.08_HILICPos",9.41,63754,0,"10494",-6.6,NA,"ppmFlag",NA,10.59,NA,0,NA,"ppmFlag, ",NA
"33","170821_Smp_As9601_A","I195.0765R10.08_HILICPos",9.26,138724,0,"15533",-7.2,NA,"ppmFlag",NA,10.59,NA,0,NA,"ppmFlag, ",NA
"34","170821_Smp_As9601_B","I195.0765R10.08_HILICPos",9.3,167482,0,"24477",-7.2,NA,"ppmFlag",NA,10.59,NA,0,NA,"ppmFlag, ",NA
"35","170821_Smp_As9601_C","I195.0765R10.08_HILICPos",9.33,231642,0,"23132",-6.4,NA,"ppmFlag",NA,10.59,NA,0,NA,"ppmFlag, ",NA
"36","170821_Smp_Nat_A","I195.0765R10.08_HILICPos",4.08,50398,0,"7884",-1.1,NA,NA,NA,10.59,"RTFlag",0,NA,"RTFlag, ",NA
"37","170821_Smp_Nat_B","I195.0765R10.08_HILICPos",5.27,160416,0,"14247",-6.2,NA,"ppmFlag",NA,10.59,"RTFlag",0,NA,"ppmFlag, RTFlag, ",NA
"38","170821_Smp_Nat_C","I195.0765R10.08_HILICPos",9.33,45749,0,"7344",-6,NA,NA,NA,10.59,NA,0,NA,"",45749
"39","161114_Smp_7803_B","I158.0813R7.81_HILICPos",9.77,1047194,0,"35438",-0.9,NA,NA,NA,8.77,NA,642440,"BlankFlag","BlankFlag",NA
"40","161114_Smp_7803_F","I158.0813R7.81_HILICPos",12.06,3559412,0,"362469",-1,NA,NA,NA,8.77,"RTFlag",642440,NA,"RTFlag, ",NA
"41","161114_Smp_8102_A","I158.0813R7.81_HILICPos",3.98,2386760,736446,"93988",-1.1,NA,NA,NA,8.77,"RTFlag",642440,"BlankFlag","RTFlag, BlankFlag",NA
"42","161114_Smp_8102_F","I158.0813R7.81_HILICPos",4.04,2018764,845640,"78558",-1.1,"SNFlag",NA,NA,8.77,"RTFlag",642440,"BlankFlag","SNFlag, RTFlag, BlankFlag",NA
"43","161114_Smp_8501_B","I158.0813R7.81_HILICPos",10.9,8805989,0,"1001193",-0.9,NA,NA,NA,8.77,NA,665940,NA,"",8805989
"44","161114_Smp_8501_C","I158.0813R7.81_HILICPos",10.95,10120400,0,"1050528",-0.8,NA,NA,NA,8.77,NA,665940,NA,"",10120400
"45","161114_Smp_8501_D","I158.0813R7.81_HILICPos",10.92,6979126,0,"806871",-0.7,NA,NA,NA,8.77,NA,665940,NA,"",6979126
"46","161114_Smp_MED4_D","I158.0813R7.81_HILICPos",11.98,3330108,0,"359683",-0.4,NA,NA,NA,8.77,"RTFlag",642440,NA,"RTFlag, ",NA
"47","161114_Smp_MED4_E","I158.0813R7.81_HILICPos",0.11,1773014,179540,"120261",-1.8,NA,NA,NA,8.77,"RTFlag",642440,"BlankFlag","RTFlag, BlankFlag",NA
"48","161114_Smp_MED4_F","I158.0813R7.81_HILICPos",12.04,3569494,0,"396283",-0.8,NA,NA,NA,8.77,"RTFlag",642440,NA,"RTFlag, ",NA
"49","170821_Smp_1314P_A","I158.0813R7.81_HILICPos",2.25,803639,0,"73216",-0.7,NA,NA,NA,8.77,"RTFlag",720697,"BlankFlag","RTFlag, BlankFlag",NA
"50","170821_Smp_1314P_B","I158.0813R7.81_HILICPos",2.27,639855,140086,"69371",-1,NA,NA,NA,8.77,"RTFlag",720697,"BlankFlag","RTFlag, BlankFlag",NA
"51","170821_Smp_1314P_C","I158.0813R7.81_HILICPos",11.5,506239,212190,"38873",-0.7,"SNFlag",NA,NA,8.77,"RTFlag",720697,"BlankFlag","SNFlag, RTFlag, BlankFlag",NA
"52","170821_Smp_As9601_A","I158.0813R7.81_HILICPos",2.27,506310,0,"93408",-0.8,NA,NA,NA,8.77,"RTFlag",322868,"BlankFlag","RTFlag, BlankFlag",NA
"53","170821_Smp_As9601_B","I158.0813R7.81_HILICPos",11.5,784010,196050,"73977",-1.3,NA,NA,NA,8.77,"RTFlag",322868,"BlankFlag","RTFlag, BlankFlag",NA
"54","170821_Smp_As9601_C","I158.0813R7.81_HILICPos",11.5,855809,383360,"51276",-1.5,"SNFlag",NA,NA,8.77,"RTFlag",322868,"BlankFlag","SNFlag, RTFlag, BlankFlag",NA
"55","170821_Smp_Nat_A","I158.0813R7.81_HILICPos",2.25,511152,145709,"58641",-0.7,NA,NA,NA,8.77,"RTFlag",658096,"BlankFlag","RTFlag, BlankFlag",NA
"56","170821_Smp_Nat_B","I158.0813R7.81_HILICPos",2.27,538983,0,"82718",-0.9,NA,NA,NA,8.77,"RTFlag",658096,"BlankFlag","RTFlag, BlankFlag",NA
"57","170821_Smp_Nat_C","I158.0813R7.81_HILICPos",2.25,516105,72986,"96046",-0.9,NA,NA,NA,8.77,"RTFlag",658096,"BlankFlag","RTFlag, BlankFlag",NA
"58","161114_Smp_7803_B","I297.0846R5.35_HILICPos",6.32,741609,0,"58375",-0.6,NA,NA,NA,5.95,NA,7396,NA,"",741609
"59","161114_Smp_7803_F","I297.0846R5.35_HILICPos",6.24,986641,0,"84575",-0.6,NA,NA,NA,5.95,NA,7396,NA,"",986641
"60","161114_Smp_8102_A","I297.0846R5.35_HILICPos",6.52,135473232,1611443,"14669020",-0.5,NA,NA,NA,5.95,NA,7396,NA,"",135473232
"61","161114_Smp_8102_F","I297.0846R5.35_HILICPos",6.5,336879616,4071522,"16300123",-0.8,NA,NA,NA,5.95,NA,7396,NA,"",336879616
"62","161114_Smp_8501_B","I297.0846R5.35_HILICPos",5.74,0,0,"0",NA,NA,NA,"areaminFlag",5.95,NA,0,NA,"areaminFlag, ",NA
"63","161114_Smp_8501_C","I297.0846R5.35_HILICPos",5.86,0,0,"0",NA,NA,NA,"areaminFlag",5.95,NA,0,NA,"areaminFlag, ",NA
"64","161114_Smp_8501_D","I297.0846R5.35_HILICPos",5.64,0,0,"0",NA,NA,NA,"areaminFlag",5.95,NA,0,NA,"areaminFlag, ",NA
"65","161114_Smp_MED4_D","I297.0846R5.35_HILICPos",5.59,0,0,"0",NA,NA,NA,"areaminFlag",5.95,NA,7396,"BlankFlag","areaminFlag, BlankFlag",NA
"66","161114_Smp_MED4_E","I297.0846R5.35_HILICPos",5.85,0,0,"0",NA,NA,NA,"areaminFlag",5.95,NA,7396,"BlankFlag","areaminFlag, BlankFlag",NA
"67","161114_Smp_MED4_F","I297.0846R5.35_HILICPos",5.68,0,0,"0",NA,NA,NA,"areaminFlag",5.95,NA,7396,"BlankFlag","areaminFlag, BlankFlag",NA
"68","170821_Smp_1314P_A","I297.0846R5.35_HILICPos",6.05,83760,0,"5142",2.4,NA,NA,NA,5.95,NA,55231,"BlankFlag","BlankFlag",NA
"69","170821_Smp_1314P_B","I297.0846R5.35_HILICPos",6.28,81244,0,"13345",1.4,NA,NA,NA,5.95,NA,55231,"BlankFlag","BlankFlag",NA
"70","170821_Smp_1314P_C","I297.0846R5.35_HILICPos",6.25,42582,0,"7289",1.2,NA,NA,NA,5.95,NA,55231,"BlankFlag","BlankFlag",NA
"71","170821_Smp_As9601_A","I297.0846R5.35_HILICPos",6.66,81494,0,"5433",1.5,NA,NA,NA,5.95,NA,52177,"BlankFlag","BlankFlag",NA
"72","170821_Smp_As9601_B","I297.0846R5.35_HILICPos",6.57,75878,0,"5536",1.5,NA,NA,NA,5.95,NA,52177,"BlankFlag","BlankFlag",NA
"73","170821_Smp_As9601_C","I297.0846R5.35_HILICPos",6.1,30988,0,"5573",0.3,NA,NA,"areaminFlag",5.95,NA,52177,"BlankFlag","areaminFlag, BlankFlag",NA
"74","170821_Smp_Nat_A","I297.0846R5.35_HILICPos",6.75,110306,0,"6408",2.3,NA,NA,NA,5.95,NA,41286,"BlankFlag","BlankFlag",NA
"75","170821_Smp_Nat_B","I297.0846R5.35_HILICPos",6.48,64530,34196,"4954",1.7,"SNFlag",NA,NA,5.95,NA,41286,"BlankFlag","SNFlag, BlankFlag",NA
"76","170821_Smp_Nat_C","I297.0846R5.35_HILICPos",6.65,87221,0,"5807",1.8,NA,NA,NA,5.95,NA,41286,"BlankFlag","BlankFlag",NA
"77","161114_Smp_7803_B","I120.0811R5.29_HILICPos",6.72,142174864,4023903,"5206359",-1.5,NA,NA,NA,6.12,NA,248629,NA,"",142174864
"78","161114_Smp_7803_F","I120.0811R5.29_HILICPos",6.71,223943744,5439518,"8396790",-1.5,NA,NA,NA,6.12,NA,248629,NA,"",223943744
"79","161114_Smp_8102_A","I120.0811R5.29_HILICPos",6.71,37612688,0,"1631397",-0.8,NA,NA,NA,6.12,NA,248629,NA,"",37612688
"80","161114_Smp_8102_F","I120.0811R5.29_HILICPos",6.69,34277764,0,"1627861",-0.9,NA,NA,NA,6.12,NA,248629,NA,"",34277764
"81","161114_Smp_8501_B","I120.0811R5.29_HILICPos",6.69,25254824,1406721,"914229",-1.7,NA,NA,NA,6.12,NA,1051203,NA,"",25254824
"82","161114_Smp_8501_C","I120.0811R5.29_HILICPos",6.72,67153416,1344049,"2452845",-1.4,NA,NA,NA,6.12,NA,1051203,NA,"",67153416
"83","161114_Smp_8501_D","I120.0811R5.29_HILICPos",6.68,38212580,3005809,"1356725",-1.4,NA,NA,NA,6.12,NA,1051203,NA,"",38212580
"84","161114_Smp_MED4_D","I120.0811R5.29_HILICPos",6.54,18958866,1658462,"627454",-1.5,NA,NA,NA,6.12,NA,248629,NA,"",18958866
"85","161114_Smp_MED4_E","I120.0811R5.29_HILICPos",6.69,23363868,2109284,"882328",-1.4,NA,NA,NA,6.12,NA,248629,NA,"",23363868
"86","161114_Smp_MED4_F","I120.0811R5.29_HILICPos",6.67,20654418,2585726,"775203",-1.4,NA,NA,NA,6.12,NA,248629,NA,"",20654418
"87","170821_Smp_1314P_A","I120.0811R5.29_HILICPos",5.89,2992114,411930,"70361",-0.9,NA,NA,NA,6.12,NA,1068563,"BlankFlag","BlankFlag",NA
"88","170821_Smp_1314P_B","I120.0811R5.29_HILICPos",5.81,2576556,1164041,"54969",-1.2,"SNFlag",NA,NA,6.12,NA,1068563,"BlankFlag","SNFlag, BlankFlag",NA
"89","170821_Smp_1314P_C","I120.0811R5.29_HILICPos",5.79,2535907,582460,"62004",-1.2,NA,NA,NA,6.12,NA,1068563,"BlankFlag","BlankFlag",NA
"90","170821_Smp_As9601_A","I120.0811R5.29_HILICPos",5.84,2799309,1101655,"60331",-0.8,"SNFlag",NA,NA,6.12,NA,1299880,"BlankFlag","SNFlag, BlankFlag",NA
"91","170821_Smp_As9601_B","I120.0811R5.29_HILICPos",5.78,2842284,1157656,"61087",-1,"SNFlag",NA,NA,6.12,NA,1299880,"BlankFlag","SNFlag, BlankFlag",NA
"92","170821_Smp_As9601_C","I120.0811R5.29_HILICPos",5.84,3088679,0,"60035",-0.5,NA,NA,NA,6.12,NA,1299880,"BlankFlag","BlankFlag",NA
"93","170821_Smp_Nat_A","I120.0811R5.29_HILICPos",5.87,4262537,544288,"98440",-0.9,NA,NA,NA,6.12,NA,233270,NA,"",4262537
"94","170821_Smp_Nat_B","I120.0811R5.29_HILICPos",5.82,3820214,1446944,"98520",-1.3,"SNFlag",NA,NA,6.12,NA,233270,NA,"SNFlag, ",NA
"95","170821_Smp_Nat_C","I120.0811R5.29_HILICPos",5.86,3829828,1339909,"99633",-1.1,"SNFlag",NA,NA,6.12,NA,233270,NA,"SNFlag, ",NA
"96","161114_Smp_7803_B","I145.0608R10.18_HILICPos",10.3,236952,0,"36144",-0.2,NA,NA,NA,10.73,NA,0,NA,"",236952
"97","161114_Smp_7803_F","I145.0608R10.18_HILICPos",10.27,233406,0,"42236",-0.5,NA,NA,NA,10.73,NA,0,NA,"",233406
"98","161114_Smp_8102_A","I145.0608R10.18_HILICPos",10.63,1055975,0,"207216",-0.8,NA,NA,NA,10.73,NA,0,NA,"",1055975
"99","161114_Smp_8102_F","I145.0608R10.18_HILICPos",10.65,878930,0,"146490",-0.5,NA,NA,NA,10.73,NA,0,NA,"",878930
"100","161114_Smp_8501_B","I145.0608R10.18_HILICPos",10.93,23143,0,"17635",0.6,NA,NA,"areaminFlag",10.73,NA,8372,"BlankFlag","areaminFlag, BlankFlag",NA
"101","161114_Smp_8501_C","I145.0608R10.18_HILICPos",12.55,279805,0,"32872",0,NA,NA,NA,10.73,NA,8372,NA,"",279805
"102","161114_Smp_8501_D","I145.0608R10.18_HILICPos",4.06,306433,0,"31308",-0.8,NA,NA,NA,10.73,"RTFlag",8372,NA,"RTFlag, ",NA
"103","161114_Smp_MED4_D","I145.0608R10.18_HILICPos",4.01,776073,0,"68881",-0.6,NA,NA,NA,10.73,"RTFlag",0,NA,"RTFlag, ",NA
"104","161114_Smp_MED4_E","I145.0608R10.18_HILICPos",3.99,816344,0,"68365",-0.7,NA,NA,NA,10.73,"RTFlag",0,NA,"RTFlag, ",NA
"105","161114_Smp_MED4_F","I145.0608R10.18_HILICPos",4.03,1266971,0,"108441",-0.5,NA,NA,NA,10.73,"RTFlag",0,NA,"RTFlag, ",NA
"106","170821_Smp_1314P_A","I145.0608R10.18_HILICPos",10.63,1979203,0,"222282",-0.6,NA,NA,NA,10.73,NA,4307,NA,"",1979203
"107","170821_Smp_1314P_B","I145.0608R10.18_HILICPos",10.65,2066933,0,"233723",-0.6,NA,NA,NA,10.73,NA,4307,NA,"",2066933
"108","170821_Smp_1314P_C","I145.0608R10.18_HILICPos",10.62,1636522,0,"168076",-0.6,NA,NA,NA,10.73,NA,4307,NA,"",1636522
"109","170821_Smp_As9601_A","I145.0608R10.18_HILICPos",10.55,19605,0,"8533",-0.3,NA,NA,"areaminFlag",10.73,NA,6773,"BlankFlag","areaminFlag, BlankFlag",NA
"110","170821_Smp_As9601_B","I145.0608R10.18_HILICPos",6.61,170196,0,"130838",0.1,NA,NA,NA,10.73,"RTFlag",6773,NA,"RTFlag, ",NA
"111","170821_Smp_As9601_C","I145.0608R10.18_HILICPos",7.96,119187,0,"84329",-0.1,NA,NA,NA,10.73,"RTFlag",6773,NA,"RTFlag, ",NA
"112","170821_Smp_Nat_A","I145.0608R10.18_HILICPos",22.47,67795,0,"9820",-0.5,NA,NA,NA,10.73,"RTFlag",6910,NA,"RTFlag, ",NA
"113","170821_Smp_Nat_B","I145.0608R10.18_HILICPos",10.47,9668,0,"9430",1,NA,NA,"areaminFlag",10.73,NA,6910,"BlankFlag","areaminFlag, BlankFlag",NA
"114","170821_Smp_Nat_C","I145.0608R10.18_HILICPos",24.99,192376,0,"108679",-0.9,NA,NA,NA,10.73,"RTFlag",6910,NA,"RTFlag, ",NA
"115","161114_Smp_7803_B","I121.0684R10.7_HILICPos",11.47,6153697,0,"356948",5,NA,NA,NA,10.855,NA,0,NA,"",6153697
"116","161114_Smp_7803_F","I121.0684R10.7_HILICPos",11.43,9735463,0,"518969",5.1,NA,NA,NA,10.855,NA,0,NA,"",9735463
"117","161114_Smp_8102_A","I121.0684R10.7_HILICPos",10.89,6519662,0,"479827",5,NA,NA,NA,10.855,NA,0,NA,"",6519662
"118","161114_Smp_8102_F","I121.0684R10.7_HILICPos",10.85,5329223,0,"345101",4.8,NA,NA,NA,10.855,NA,0,NA,"",5329223
"119","161114_Smp_8501_B","I121.0684R10.7_HILICPos",10.9,140808,0,"38732",4.9,NA,NA,NA,10.855,NA,5029,NA,"",140808
"120","161114_Smp_8501_C","I121.0684R10.7_HILICPos",10.89,427116,0,"71712",5,NA,NA,NA,10.855,NA,5029,NA,"",427116
"121","161114_Smp_8501_D","I121.0684R10.7_HILICPos",10.92,340567,0,"68441",4.8,NA,NA,NA,10.855,NA,5029,NA,"",340567
"122","161114_Smp_MED4_D","I121.0684R10.7_HILICPos",10.82,1326748,0,"183452",5.2,NA,NA,NA,10.855,NA,0,NA,"",1326748
"123","161114_Smp_MED4_E","I121.0684R10.7_HILICPos",10.87,1494384,0,"169745",5,NA,NA,NA,10.855,NA,0,NA,"",1494384
"124","161114_Smp_MED4_F","I121.0684R10.7_HILICPos",10.84,1884856,0,"189627",4.8,NA,NA,NA,10.855,NA,0,NA,"",1884856
"125","170821_Smp_1314P_A","I121.0684R10.7_HILICPos",11.14,22079,0,"5788",4.4,NA,NA,"areaminFlag",10.855,NA,3768,NA,"areaminFlag, ",NA
"126","170821_Smp_1314P_B","I121.0684R10.7_HILICPos",11.2,21165,0,"4094",4.8,NA,NA,"areaminFlag",10.855,NA,3768,NA,"areaminFlag, ",NA
"127","170821_Smp_1314P_C","I121.0684R10.7_HILICPos",11.17,29381,0,"5187",3.4,NA,NA,"areaminFlag",10.855,NA,3768,NA,"areaminFlag, ",NA
"128","170821_Smp_As9601_A","I121.0684R10.7_HILICPos",10.76,268910,0,"27509",4.9,NA,NA,NA,10.855,NA,0,NA,"",268910
"129","170821_Smp_As9601_B","I121.0684R10.7_HILICPos",11.14,230804,0,"24729",4,NA,NA,NA,10.855,NA,0,NA,"",230804
"130","170821_Smp_As9601_C","I121.0684R10.7_HILICPos",10.73,193034,0,"20859",5.5,NA,NA,NA,10.855,NA,0,NA,"",193034
"131","170821_Smp_Nat_A","I121.0684R10.7_HILICPos",11.15,76835,0,"7555",4.3,NA,NA,NA,10.855,NA,6269,NA,"",76835
"132","170821_Smp_Nat_B","I121.0684R10.7_HILICPos",11.11,101347,0,"16953",4.9,NA,NA,NA,10.855,NA,6269,NA,"",101347
"133","170821_Smp_Nat_C","I121.0684R10.7_HILICPos",11.14,135315,0,"17220",5,NA,NA,NA,10.855,NA,6269,NA,"",135315
"134","161114_Smp_7803_B","I185.0922R8.02_HILICPos",8.47,1262073,0,"54086",-0.9,NA,NA,NA,8.63,NA,1007538,"BlankFlag","BlankFlag",NA
"135","161114_Smp_7803_F","I185.0922R8.02_HILICPos",8.45,1366220,0,"68186",-1.3,NA,NA,NA,8.63,NA,1007538,"BlankFlag","BlankFlag",NA
"136","161114_Smp_8102_A","I185.0922R8.02_HILICPos",8.29,1529819,0,"61216",-1.1,NA,NA,NA,8.63,NA,1007538,"BlankFlag","BlankFlag",NA
"137","161114_Smp_8102_F","I185.0922R8.02_HILICPos",8.69,1493719,0,"54432",-1.4,NA,NA,NA,8.63,NA,1007538,"BlankFlag","BlankFlag",NA
"138","161114_Smp_8501_B","I185.0922R8.02_HILICPos",7.98,1274424,1224116,"39373",-1.4,"SNFlag",NA,NA,8.63,NA,194895,NA,"SNFlag, ",NA
"139","161114_Smp_8501_C","I185.0922R8.02_HILICPos",8.64,3173428,0,"63887",-1.4,NA,NA,NA,8.63,NA,194895,NA,"",3173428
"140","161114_Smp_8501_D","I185.0922R8.02_HILICPos",8.5,3048731,0,"54420",-1.5,NA,NA,NA,8.63,NA,194895,NA,"",3048731
"141","161114_Smp_MED4_D","I185.0922R8.02_HILICPos",8.15,1803970,1046744,"46401",-1.4,"SNFlag",NA,NA,8.63,NA,1007538,"BlankFlag","SNFlag, BlankFlag",NA
"142","161114_Smp_MED4_E","I185.0922R8.02_HILICPos",7.6,825887,2896590,"27020",-1.1,"SNFlag",NA,NA,8.63,NA,1007538,"BlankFlag","SNFlag, BlankFlag",NA
"143","161114_Smp_MED4_F","I185.0922R8.02_HILICPos",8.25,1365859,1072165,"45032",-1.3,"SNFlag",NA,NA,8.63,NA,1007538,"BlankFlag","SNFlag, BlankFlag",NA
"144","170821_Smp_1314P_A","I185.0922R8.02_HILICPos",7.81,233018,151356,"46157",-0.2,"SNFlag",NA,NA,8.63,NA,319340,"BlankFlag","SNFlag, BlankFlag",NA
"145","170821_Smp_1314P_B","I185.0922R8.02_HILICPos",7.78,308255,0,"8961",-0.8,NA,NA,NA,8.63,NA,319340,"BlankFlag","BlankFlag",NA
"146","170821_Smp_1314P_C","I185.0922R8.02_HILICPos",8.17,220005,25503,"16321",-0.7,NA,NA,NA,8.63,NA,319340,"BlankFlag","BlankFlag",NA
"147","170821_Smp_As9601_A","I185.0922R8.02_HILICPos",8.12,245654,2858,"9100",-0.4,NA,NA,NA,8.63,NA,263895,"BlankFlag","BlankFlag",NA
"148","170821_Smp_As9601_B","I185.0922R8.02_HILICPos",8.07,93632,292425,"15704",-0.9,"SNFlag",NA,NA,8.63,NA,263895,"BlankFlag","SNFlag, BlankFlag",NA
"149","170821_Smp_As9601_C","I185.0922R8.02_HILICPos",8.6,158172,0,"19028",-0.6,NA,NA,NA,8.63,NA,263895,"BlankFlag","BlankFlag",NA
"150","170821_Smp_Nat_A","I185.0922R8.02_HILICPos",8.51,188426,0,"27312",-0.9,NA,NA,NA,8.63,NA,243132,"BlankFlag","BlankFlag",NA
"151","170821_Smp_Nat_B","I185.0922R8.02_HILICPos",7.99,220416,0,"14122",-0.9,NA,NA,NA,8.63,NA,243132,"BlankFlag","BlankFlag",NA
"152","170821_Smp_Nat_C","I185.0922R8.02_HILICPos",8.6,94792,109300,"9294",-0.7,"SNFlag",NA,NA,8.63,NA,243132,"BlankFlag","SNFlag, BlankFlag",NA
"153","161114_Smp_7803_B","I96.0449R5.35_HILICPos",6.24,6352741,4949654,"328905",-0.7,"SNFlag",NA,NA,5.92,NA,605091,NA,"SNFlag, ",NA
"154","161114_Smp_7803_F","I96.0449R5.35_HILICPos",6.25,8029636,3925676,"353929",-0.7,"SNFlag",NA,NA,5.92,NA,605091,NA,"SNFlag, ",NA
"155","161114_Smp_8102_A","I96.0449R5.35_HILICPos",6.22,237794960,9024329,"7044598",-0.6,NA,NA,NA,5.92,NA,605091,NA,"",237794960
"156","161114_Smp_8102_F","I96.0449R5.35_HILICPos",6.25,247292912,8043383,"7358116",-0.7,NA,NA,NA,5.92,NA,605091,NA,"",247292912
"157","161114_Smp_8501_B","I96.0449R5.35_HILICPos",6.14,798469,3302789,"50575",-1,"SNFlag",NA,NA,5.92,NA,115977,NA,"SNFlag, ",NA
