Compound,Quantification method,Proxy compound for relative RF,Environmental samples applied,Culture samples applied
Cytidine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Cytosine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Deoxyadenosine,external RF and RF ratio,NA,MGL1704,NA
Deoxyadenosine,relative RF and RF ratio,Guanosine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Dexpanthenol,external RF and RF ratio,NA,MGL1704,NA
Dexpanthenol,relative RF and RF ratio,Serine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
DHPS,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Dimethylsulfonioacetate (DMS-Ac),external RF and RF ratio,NA,MGL1704,NA
Dimethylsulfonioacetate (DMS-Ac),relative RF and RF ratio,DMSP,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
DMSP,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Ectoine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Gluconic Acid,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Glucosylglycerol,external RF and RF ratio,NA,MGL1704,"1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Glucosylglycerol,relative RF and RF ratio,Serine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Glutamic acid,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Glutamine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Glutathione Disulfide,external RF and RF ratio,NA,MGL1704,NA
Glutathione Disulfide,relative RF and RF ratio,Phenylalanine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Glycerophosphocholine,external RF and RF ratio,NA,MGL1704,3430
Glycerophosphocholine,relative RF and RF ratio,Betaine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Gonyol,external RF and RF ratio,NA,MGL1704,NA
Gonyol,relative RF and RF ratio,DMSP,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Guanine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Guanosine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Histidine,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Histidine,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Homarine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Homoserine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Homoserine,relative RF and RF ratio,Threonine,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Inosine,external RF and RF ratio,NA,MGL1704,NA
Inosine,relative RF and RF ratio,Uridine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Isethionic Acid,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Isethionic Acid,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Kynurenine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
L-Pyroglutamic acid,external RF and RF ratio,NA,MGL1704,3430
L-Pyroglutamic acid,relative RF and RF ratio,DHPS,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Leucine,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Leucine,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Lysine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Malic Acid,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Methionine,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Methionine,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Methionine Sulfoxide,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Methionine Sulfoxide,relative RF and RF ratio,Methionine,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Methylthioadenosine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
N-acetyltaurine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
N(e)-Acetyl-Lysine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
N(e)-Acetyl-Lysine,relative RF and RF ratio,Arginine,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
"NAD",external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Ornithine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Ornithine,relative RF and RF ratio,Glutamine,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Phenylalanine,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Phenylalanine,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Proline,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Proline,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Propionyl-L-carnitine,external RF and RF ratio,NA,MGL1704,3430
Propionyl-L-carnitine,relative RF and RF ratio,Betaine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Sarcosine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Serine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Stachydrine hydrochloride,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Stachydrine hydrochloride,relative RF and RF ratio,Proline,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Sucrose,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Sucrose,relative RF and RF ratio,Trehalose,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Sulfolactic Acid,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Sulfolactic Acid,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Sulfurol,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Taurine,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Taurine,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Threonine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Thymidine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Trehalose,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Trigonelline,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Trigonelline,relative RF and RF ratio,Homarine,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Trimethylammonium Propionate (TMAP),relative RF and RF ratio,Betaine,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Tryptophan,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Tryptophan,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Tyrosine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
UDP-glucosamine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Uracil,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Uridine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Vitamin B2,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Vitamin B2,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Vitamin B3,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Vitamin B5,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
