Org_Type,ID_rep,Org_Name,4-Hydroxyisoleucine_HILIC,Acetyl-L-carnitine_HILIC,Adenine_HILIC,Adenosine_HILIC,Adenosyl Homocysteine_HILIC,Adenosyl Methionine_HILIC,Agmatine_RP,Alanine_HILIC,Allopurinol_RP,Amino Propanesulfonic Acid_HILIC,AMP_HILIC,Arginine_HILIC,Argininosuccinic Acid_HILIC,Arsenobetaine_HILIC,Asparagine_HILIC,Aspartic acid_HILIC,beta-Alanine_HILIC,beta-Glutamic acid_HILIC,Betaine_HILIC,Betonicine_HILIC,Butyryl-L-carnitine_HILIC,Carnitine_HILIC,Choline_HILIC,Citrulline_HILIC,Creatine_HILIC,Cystathionine_HILIC,Cysteic Acid_HILIC,Cytidine_HILIC,Cytosine_HILIC,Deoxyadenosine_HILIC,Dexpanthenol_HILIC,DHPS_HILIC,Dimethylsulfonioacetate (DMS-Ac)_HILIC,DMSP_HILIC,Ectoine_HILIC,Gluconic Acid_HILIC,Glucosylglycerol_HILIC,Glutamic acid_HILIC,Glutamine_HILIC,Glutathione Disulfide_RP,Glycerophosphocholine_HILIC,Gonyol_HILIC,Guanine_HILIC,Guanosine_HILIC,Histidine_HILIC,Homarine_HILIC,Homoserine_HILIC,Inosine_HILIC,Isethionic Acid_HILIC,Kynurenine_RP,L-Pyroglutamic acid_HILIC,Leucine_HILIC,Lysine_HILIC,Malic Acid_HILIC,Methionine Sulfoxide_HILIC,Methionine_HILIC,Methylthioadenosine_RP,N-acetyltaurine_HILIC,N(e)-Acetyl-Lysine_HILIC,NAD_HILIC,Ornithine_HILIC,Phenylalanine_RP,Proline_HILIC,Propionyl-L-carnitine_HILIC,Sarcosine_HILIC,Serine_HILIC,Stachydrine hydrochloride_HILIC,Sucrose_HILIC,Sulfolactic Acid_HILIC,Sulfurol_RP,Taurine_HILIC,Threonine_HILIC,Thymidine_HILIC,Trehalose_HILIC,Trigonelline_HILIC,Trimethylammonium Propionate (TMAP)_HILIC,Tryptophan_RP,Tyrosine_HILIC,UDP-glucosamine_HILIC,Uracil_HILIC,Uridine_HILIC,Vitamin B2_RP,Vitamin B3_HILIC,Vitamin B5_RP
Dinoflagellate,1771_B,Alexandrium tamarense CCMP1771,25277857.212955456,NA,108768758.7680348,69663233.05597384,NA,1476760.283537331,NA,5443705.295088613,NA,NA,11462729.91959149,64582066.39252481,NA,NA,2220034.7383103594,6780795.4095717985,NA,NA,NA,NA,NA,221844814.6324826,100533010.04221527,2076199.2499710415,NA,617641.1854704815,NA,6297605.803634632,47236490.38894681,NA,NA,NA,NA,32288997001.17122,NA,NA,NA,122657516.94080853,58155308.03956395,NA,NA,7630089964.863508,4943033836.570267,1174589.873161126,34984780.62216044,NA,2176807.9245337658,NA,NA,NA,NA,NA,NA,NA,NA,2631951.382453634,399558.94371726067,NA,NA,123561.92163146583,NA,38498912.44192182,9696164.467418306,NA,NA,3207655.318899057,NA,NA,118866.1965712962,NA,18994806.145990193,10627441.374827858,NA,NA,4628387196.41685,5019228219.879789,19497847.005032368,10404537.719442192,NA,NA,44964392.93022897,NA,18952647.68507793,NA
Dinoflagellate,1771_C,Alexandrium tamarense CCMP1771,33096096.51227571,NA,215547983.78867358,128432625.29441291,NA,2404722.603740906,NA,12050464.407064807,NA,NA,14622884.295036213,91531810.72904083,NA,NA,4281445.470867601,13245620.521752082,NA,NA,NA,NA,NA,301988045.5947003,129910438.4890757,3428160.836325727,NA,1036792.822944074,NA,5869219.64720094,73933244.45786655,NA,NA,6704917.936710187,NA,56103893696.94363,NA,141328376.23350048,NA,185077798.78428844,103860937.47414407,246596.66947979238,NA,10385036377.57663,6830790488.325528,1603464.4194756555,52624890.19846326,NA,4849310.749725583,NA,NA,NA,NA,NA,NA,NA,NA,4861070.890767983,563564.5750249596,NA,NA,NA,3883160.650162996,45423361.63006845,18041448.270203482,NA,NA,5346778.936583322,NA,NA,NA,NA,27841485.364851374,19561609.176857352,NA,NA,6054276778.474625,6431450745.478314,21981892.744066235,13382303.612108577,NA,NA,81526856.73192015,NA,27430763.839475326,NA
Dinoflagellate,2021_A,Lingulodinium polyedra CCMP2021,10375256.571953626,2706012072.5987716,133480265.05553326,109774729.00744332,NA,8750280.871769724,NA,2397544.0418061432,NA,NA,29131179.487902854,742703436.1685048,NA,NA,2658962.548857771,16374141.906344937,1229982.2302826603,NA,NA,NA,NA,444172938.71144766,56940115.54734255,544126.3313397994,NA,888800.8159359794,NA,1149196.5543380855,18303595.326093692,1102127.0884205534,NA,484849.96574667335,NA,979841859.0909959,NA,195723085.9462795,NA,158288135.5002179,46100469.819035836,964398.3511229721,NA,13505522312.111256,337829331.0521123,13874702.635089127,4334845.090742738,1822440.3603558259,625341.8455616005,6937623.137703013,NA,NA,13527816.621683814,245690328.71777147,5435244.852663073,NA,221841.8544084406,22209868.45912176,1021117.4326654171,NA,NA,NA,778808.9700333353,22610903.94750499,45022742.75774511,NA,NA,2517398.6103379237,211438170.52188957,NA,134577.43559397123,NA,38152593.35676027,9914759.880269527,NA,NA,16774868.60702817,NA,4401132.966716317,37616845.2475576,358073.4062732889,NA,13954010.3342255,135822.00949278628,164612119.19382083,NA
Dinoflagellate,2021_B,Lingulodinium polyedra CCMP2021,3450873.321872185,1620866803.6350589,78313164.89902918,48471103.50249157,NA,4327524.256156358,NA,1456636.6927011702,NA,NA,19037698.4555959,447848512.9820481,NA,NA,1728819.2851617357,11469745.299890162,543061.1230736234,NA,NA,NA,NA,223526561.22006798,34474961.71148525,340291.9189068153,NA,665852.1027079502,NA,842078.9273825253,9770238.572670821,489659.68290298403,NA,272092.47516005556,NA,723758702.6042523,NA,99508697.6800554,NA,103132112.2049453,26801171.357573852,587879.9166523267,1597044.1384685594,7819973141.838539,212058129.5606538,6200610.97887695,3048204.7879177104,1032210.0109522429,379577.97939153004,3981908.5746419863,NA,NA,23382623.756485835,148225336.22608435,2901636.915668183,NA,119389.00266952856,14738098.442700328,858033.5992170328,NA,NA,NA,462405.9436351433,11889340.834210025,21023004.870799042,NA,NA,1683462.3290487516,121671570.28586842,NA,72087.38949478428,NA,28478640.201950952,6798768.177431667,NA,NA,10228715.519293066,5408348.543348255,2495017.0997284492,20723436.979540825,223908.65075494096,NA,8611691.339245753,71617.64573529395,115749578.93326654,NA
Dinoflagellate,2021_C,Lingulodinium polyedra CCMP2021,16661634.522551768,1581661951.43538,101633474.18115886,58245654.11747556,NA,2057744.493287191,NA,3771520.4433312872,NA,NA,11431650.04762568,404970529.7174432,NA,NA,2572425.6758492375,8165864.003568636,767545.1190934392,NA,NA,NA,NA,363997282.58996826,79084609.5644396,NA,NA,577657.8178896717,NA,828945.674353952,21758190.604218584,1263955.520057606,NA,27602.61136170603,NA,545045206.2836243,NA,98265259.90088929,402525.6281713472,90068651.56776306,92681214.09670028,645125.1393215621,NA,15707969892.968042,418939128.3028112,5833435.8383613005,4862232.45926652,1395986.6514437129,1535111.77468469,2592127.6556198616,NA,NA,16365251.850154843,205764325.8695054,4437919.726763711,NA,740760.8946485692,14898752.09439178,802488.4131031289,NA,NA,NA,702263.4258788405,17387764.303732596,46190311.00895647,NA,NA,1481955.782359097,171345984.64659154,NA,77455.03544724805,NA,27943266.547391884,3868924.8019634183,NA,NA,13841715.982201088,NA,3916184.362236688,30567443.122239802,182185.0664410094,NA,7291595.09588101,53196.454836632736,120857458.56168982,NA
Haptophyte,2090_A,Emiliania huxleyi CCMP2090,NA,244632480.8623116,NA,759291037.0395797,691654.9380385156,1981517.97054684,NA,13364326.662318492,NA,NA,9328776.90432872,NA,1245803.4396347534,NA,25321022.278672203,2966681.541999931,NA,NA,29772472211.733204,NA,NA,1067930548.2132436,256738539.69997597,NA,NA,NA,1044166.0087192338,NA,NA,4001805.636607051,NA,889175325.254883,6251635.714530912,99285171343.24258,37301894.88860664,NA,3972043.527513645,258912141.70471317,393957035.46050596,774037.966427517,6902231.299989701,4984895870.378634,NA,16609838.316569977,NA,NA,20081040.815625966,17069743.572139643,NA,NA,NA,NA,34226648.587415464,NA,3996083.2103257696,6494874.875562116,648501.596237685,NA,NA,645868.662249837,NA,12043630.496721705,48474456.764271736,NA,3497614.2253956264,2338615.220898699,63217651.299303144,NA,NA,NA,1201592.8049157255,9641515.910885312,NA,NA,NA,NA,2685390.1342212763,4636050.942295149,NA,NA,61944210.63471902,567083.1759980776,NA,592458.2060348083
Haptophyte,2090_B,Emiliania huxleyi CCMP2090,NA,177407355.28491956,NA,515561954.5932942,876144.9406104345,3090768.3055179673,NA,12969941.362201173,NA,NA,17728161.17877011,NA,2586814.0129303862,NA,47809505.33754323,8457041.04645918,NA,NA,18650034557.209442,NA,NA,1028490199.9699293,428177513.1559164,9343620.508194257,NA,NA,1501888.437828898,NA,103359170.04961659,NA,NA,NA,2782165.087956698,98571739588.03188,20678649.82709367,NA,4213609.983461133,544258078.4844384,466163981.35618705,539554.9541422343,19907806.34491054,8094940165.388663,NA,7043764.84739137,NA,NA,21488690.422492858,16123449.105397684,NA,NA,NA,NA,53135937.45301458,78135029.31889941,9786639.603067208,6534656.442640204,515504.4354232446,NA,NA,4378288.979100887,NA,10092966.471207337,46946047.21094572,11507628.927980755,14711129.15351075,5481076.529845136,60209604.570741236,NA,NA,NA,2090987.8213802434,9573724.251992181,NA,NA,NA,NA,2005211.2464291083,2718451.360697639,NA,NA,29556719.29033228,NA,NA,593113.817471057
Haptophyte,2090_C,Emiliania huxleyi CCMP2090,NA,219671481.4698262,NA,544253013.1856375,1108469.4380631694,2174552.3491833718,NA,13512524.782075087,NA,NA,15800405.95399188,NA,200797.74679799855,NA,29175150.2659156,2674156.360470361,NA,NA,32873841583.535263,NA,NA,959453105.495589,179009807.932362,NA,NA,NA,3406184.7667600256,NA,80924400.2475585,NA,NA,1192265684.8244538,6900459.976293126,101645322172.221,29394722.073617186,NA,2017132.4123317704,320736570.4755012,491656481.1026843,1261404.999423063,8300996.003398685,4828322035.854025,NA,10457626.585266072,NA,NA,26256768.52230649,NA,NA,NA,NA,NA,46658757.38217369,45060693.79320473,429805.1001248282,7539092.740032099,814294.4058071352,NA,NA,1967930.1591297688,NA,10182508.837628894,53905020.40259726,19612093.652641848,3948054.6726668137,3229712.790173186,80297269.5135895,NA,NA,NA,3449462.923917718,12697842.254880365,NA,NA,83054546.78960674,NA,3283763.9382782094,5191781.791862039,NA,NA,24833933.87250737,709992.0277769036,NA,950800.3692398065
Prasinophyte,3430_A,Ostreococcus lucimarinus CCMP3430,NA,NA,208244102.49487922,21153673.379362457,1426099.097979566,65606244.905381255,NA,743675982.5282903,NA,253239562.6764064,41586426.00624376,95119768.21461,280009.35450905556,NA,78077000.62387997,118135108.17457551,118822684.07625714,NA,37425003412.28186,NA,NA,NA,NA,42091877.72991775,NA,NA,1476042.5631933492,NA,NA,NA,NA,NA,NA,35627967194.97323,NA,24198559.581570838,NA,2507533724.903564,366398629.45400214,5756276.6573909875,NA,NA,13563116.969420139,8818723.96926428,183351731.45957357,NA,NA,NA,NA,NA,NA,NA,21083251.794337675,1132931216.9893284,9330718.298691032,25918857.457907736,4270603.236812479,332954269.6363129,NA,3392984.714601115,NA,92485637.19414684,26554378829.33238,NA,NA,85925145.56338257,NA,117432380.35379495,NA,NA,3662630250.9245787,180971510.22915447,NA,NA,NA,NA,8612561.029506179,10821221.910159217,NA,NA,NA,NA,NA,10794100.801655209
Prasinophyte,3430_B,Ostreococcus lucimarinus CCMP3430,NA,NA,362269806.40735424,44642336.09412273,1305545.8407521192,63459284.07214063,NA,730453617.145898,NA,268430665.513129,43397479.45779477,124609292.58272412,NA,NA,83453241.8333708,124137073.380719,119337748.12541673,NA,37244533788.08957,NA,NA,NA,NA,48360003.74355467,NA,NA,363236.1701858004,NA,143392192.42636663,4088252.8803083077,NA,NA,4741095.405047656,34471044547.169525,NA,28813428.02736275,NA,2507700617.8286295,273849179.58352053,4144893.4309345046,NA,NA,32079142.945233807,10395690.074623708,203596660.4638545,NA,NA,NA,NA,NA,NA,NA,25628367.1654525,1132649994.4302008,7268603.846969355,27960287.346532892,4665539.8686977485,324598973.73586655,NA,3964658.732561968,NA,71121999.42477794,25252765919.337185,NA,NA,90300286.85408202,NA,116717538.27232167,NA,NA,3549038875.399982,193915958.00965974,NA,NA,NA,NA,9795114.626350582,11810375.557012541,NA,NA,1841650.2475290669,NA,NA,10619352.0953248
Prasinophyte,3430_C,Ostreococcus lucimarinus CCMP3430,NA,NA,269029793.00307095,20886811.392369278,1174277.7604090506,65092695.352972195,NA,658148509.0781951,NA,274479252.20426124,38252390.46247329,58780273.692423604,NA,NA,81716153.02984446,109637965.52140595,113046310.29608841,NA,36892436148.03075,NA,NA,NA,NA,46122026.7329153,NA,NA,924049.5838754422,NA,114064144.16989827,1429548.1030681655,NA,NA,382258.8633047797,36080093207.94471,NA,21469435.11251226,NA,2500474652.9967027,246321039.03581205,6180396.671140274,NA,NA,25122800.674080066,10376390.465618232,224068575.4647786,NA,19382388.546678055,NA,NA,NA,NA,NA,NA,1205797166.9772053,7310810.434938845,25506022.39170712,4205280.495929456,323552256.5140542,NA,4204499.957218503,NA,96937210.53764634,25700929630.720528,NA,NA,89804995.33608179,NA,115062641.19418275,NA,NA,3559827899.0765953,193413618.36768708,NA,NA,NA,NA,10805287.941243233,12564724.748265157,NA,NA,4382684.980467332,NA,NA,11380339.866153678
Haptophyte,371_A,Emiliania huxleyi CCMP371,NA,74074159.72991075,NA,708983857.5197169,NA,2503254.466177335,NA,6851213.078006041,NA,NA,648916.7725974221,NA,NA,NA,10122505.159852928,2882822.815434453,NA,NA,8102898801.273903,NA,NA,725721474.556116,93944084.96330012,1403939.2572545481,NA,NA,1926917.3466737743,NA,NA,7907007.832041662,NA,1948291357.4172032,1981246.839162942,81908315698.25453,NA,NA,166678.96830278428,359343059.826957,118343937.34366672,1098210.7953691175,42857178.00467462,3082960681.2372713,27648864.832356036,11031855.770150764,NA,829618403.2476319,3975306.515766597,NA,NA,NA,NA,NA,12793712.497095447,NA,1850136.0014215223,3823963.587157092,807370.0468829022,NA,466827.95478465303,249179.20750126435,NA,5061013.381446399,53993586.74703736,NA,NA,1272691.7346673775,62962496.4120228,NA,NA,NA,3480630.3905086042,NA,NA,NA,NA,NA,1582332.116838206,2180932.4640177144,NA,NA,30335271.524446085,781304.2467981575,NA,1800604.14701822
Haptophyte,371_B,Emiliania huxleyi CCMP371,NA,80140132.18686298,NA,901281478.3553927,298957.0730022594,2796157.8764372845,NA,8446139.143283416,NA,NA,977142.4755263304,NA,NA,NA,9866407.727174673,3327265.5032963813,NA,2088835.1917694286,8041834511.111073,NA,NA,757629358.6971358,127355728.85026377,1761586.1564585315,NA,NA,1409237.4225642732,NA,NA,8024356.048147517,NA,1986358044.735213,1892610.7309063468,83053244966.39801,NA,NA,265729.7029604642,353285600.2924219,123321757.58826618,1491981.6333841628,45795952.88112683,3351315745.180058,27737532.255022526,12726893.918023283,NA,951869197.6029072,3814928.4160192953,NA,NA,NA,NA,NA,14302073.924747461,NA,NA,5264539.048970925,1090478.3386411588,NA,NA,634052.8815655011,NA,5405948.981393405,54421843.24935547,NA,NA,1301125.7410393297,69683378.81394692,NA,144410.55531556552,NA,3348269.863547974,NA,NA,NA,NA,NA,1732272.9847838308,2580716.8280174406,125372.48250659824,NA,34889741.37673288,816179.9277865317,NA,1908677.0582079024
Haptophyte,371_C,Emiliania huxleyi CCMP371,NA,92103346.99846968,NA,862942165.6280644,NA,2629006.861513452,NA,NA,NA,NA,240069.57416220912,NA,NA,NA,9291197.521899646,2720845.1471248385,NA,NA,9196088455.71136,NA,NA,838656294.95782125,105522822.26935965,2782186.2163701584,NA,NA,1450500.4894303663,NA,NA,10085440.32712917,NA,1150352663.2307603,2129653.1754874806,100609364968.56871,NA,NA,NA,342470948.22391,109516081.69806652,1016892.1954055002,41961461.19714849,3136240152.8213,39366985.44946338,11399437.396704867,NA,1058306450.085817,7221012.898806838,NA,NA,NA,NA,NA,17240034.951291658,NA,1901342.0555961197,5438050.610861215,1047182.1095430922,NA,NA,210265.6308225164,NA,5592038.78424869,53576785.173625,NA,NA,1729468.1178076407,72166289.6643418,NA,NA,NA,3695012.6930814655,NA,NA,NA,NA,NA,1726817.3680009178,3058927.894589223,NA,NA,32583791.458797473,748340.6544097718,NA,1820568.9512292077
