MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,MassFeature_Column,Volume,Adjusted_Area_VolNormed,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFFlag,RFratio,nmolinEnviroave,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,molFractionC_pertotalC
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,2399180,170413,Smp,KM1513-15m_B,B,170413,2399180,170413_Smp_KM1513-15m_B I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,10.7,224222.4299065421,23,0.7012987012987013,1,400,1,1,Methylthioadenosine,100395888,65555820,85624910.66666667,NA,0.910014845623046,0.0011510400562638357,C11H15N5O3S,11,5,0.012661440618902193,0.005755200281319178,122.18628090439404,26.27220668378334,1.0362407731199603e-4,2.1906040671001596e-4,3.47,3.648830149539537e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,41450,170413,Smp,KM1513-15m_B,B,170413,41450,170413_Smp_KM1513-15m_B Kynurenine,RP,Kynurenine_X_RP,10.7,3873.831775700935,64,0.16883116883116878,1,400,1,1,Kynurenine,34068732,22632140,26481184,NA,0.7534280860084843,7.766431997812609e-5,C10H12N2O3,10,2,7.766431997812609e-4,1.5532863995625218e-4,122.18628090439404,26.27220668378334,6.356222597436726e-6,5.912279917169257e-6,3.47,2.238164840868187e-7
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,23440,170413,Smp,KM1513-15m_B,B,170413,23440,170413_Smp_KM1513-15m_B Sulfurol,RP,Sulfurol_X_RP,10.7,2190.654205607477,71,0.07792207792207795,1,400,1,1,Sulfurol,164414928,116305160,133106810.66666669,NA,1.0047080853267951,6.552298078241224e-6,C6H9NOS,6,1,3.931378846944735e-5,6.552298078241224e-6,122.18628090439404,26.27220668378334,3.217528856632345e-7,2.4940037040305657e-7,3.47,1.132962203730471e-8
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,0,170413,Smp,KM1513-15m_B,B,170413,NA,170413_Smp_KM1513-15m_B Vitamin B5,RP,Vitamin B5_X_RP,10.7,NA,77,0,1,400,1,1,Vitamin B5,37068364,25428540,30543792,NA,0.5472808295696836,NA,C9H17NO5,9,1,NA,NA,122.18628090439404,26.27220668378334,NA,NA,3.47,NA
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,1141316,170413,Smp,KM1513-15m_C,C,170413,1141316,170413_Smp_KM1513-15m_C Agmatine,RP,Agmatine_X_RP,10.7,106665.04672897197,29,0.618421052631579,1,400,1,1,Agmatine,39594888.47169144,14259471.039947825,31593254.34093568,used relative RF,0.5739625810760454,0.002352903824135962,C5H14N4,5,4,0.011764519120679811,0.009411615296543848,120.21707127664322,28.099929764948296,9.786063656140258e-5,3.349337658588687e-4,3.47,3.3903513316080146e-6
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,1482305,170413,Smp,KM1513-15m_C,C,170413,1949443.5259867643,170413_Smp_KM1513-15m_C Allopurinol,RP,Allopurinol_X_RP,10.7,182190.9837370808,26,0.6578947368421053,1,400,1,1,Allopurinol,6475830.387471045,6466174.695705364,6471002.541588205,used relative RF,0.8382497728907972,0.013435129512153606,C5H4N4O,5,4,0.06717564756076803,0.053740518048614426,120.21707127664322,28.099929764948296,5.587862592841211e-4,0.0019124787320874397,3.47,1.9358976242296265e-5
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,94271,170413,Smp,KM1513-15m_C,C,170413,94271,170413_Smp_KM1513-15m_C Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,10.7,8810.373831775702,61,0.19736842105263153,1,400,1,1,Glutathione Disulfide,1480891.373896514,843324.9727176229,1305888.0688367917,used relative RF,0.41903843437671984,0.006440128236595545,C20H32N6O12S2,20,6,0.1288025647319109,0.03864076941957327,120.21707127664322,28.099929764948296,0.0010714165913717094,0.0013751197865189528,3.47,3.7118894735421006e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,1809352,170413,Smp,KM1513-15m_C,C,170413,1809352,170413_Smp_KM1513-15m_C I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,10.7,169098.31775700935,25,0.6710526315789473,1,400,1,1,Methylthioadenosine,100395888,65555820,85624910.66666667,NA,0.910014845623046,8.680618494156686e-4,C11H15N5O3S,11,5,0.009548680343572355,0.004340309247078343,120.21707127664322,28.099929764948296,7.942865553261529e-5,1.5445978987792424e-4,3.47,2.7517810788392955e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,47691,170413,Smp,KM1513-15m_C,C,170413,47691,170413_Smp_KM1513-15m_C Kynurenine,RP,Kynurenine_X_RP,10.7,4457.1028037383185,65,0.14473684210526316,1,400,1,1,Kynurenine,34068732,22632140,26481184,NA,0.7534280860084843,8.935799961584585e-5,C10H12N2O3,10,2,8.935799961584585e-4,1.787159992316917e-4,120.21707127664322,28.099929764948296,7.433054113439134e-6,6.360015869314417e-6,3.47,2.5751584903701976e-7
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,24412,170413,Smp,KM1513-15m_C,C,170413,24412,170413_Smp_KM1513-15m_C Sulfurol,RP,Sulfurol_X_RP,10.7,2281.495327102804,69,0.09210526315789468,1,400,1,1,Sulfurol,164414928,116305160,133106810.66666669,NA,1.0047080853267951,6.824006001963514e-6,C6H9NOS,6,1,4.094403601178108e-5,6.824006001963514e-6,120.21707127664322,28.099929764948296,3.405842080245057e-7,2.4284779567227753e-7,3.47,1.1799434009158813e-8
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,0,170413,Smp,KM1513-15m_C,C,170413,NA,170413_Smp_KM1513-15m_C Vitamin B5,RP,Vitamin B5_X_RP,10.7,NA,76,0,1,400,1,1,Vitamin B5,37068364,25428540,30543792,NA,0.5472808295696836,NA,C9H17NO5,9,1,NA,NA,120.21707127664322,28.099929764948296,NA,NA,3.47,NA
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,940690,170413,Smp,KM1513-45m_A,A,170413,940690,170413_Smp_KM1513-45m_A Agmatine,RP,Agmatine_X_RP,9,104521.11111111112,9,0.8860759493670887,1,400,1,1,Agmatine,39594888.47169144,14259471.039947825,31593254.34093568,used relative RF,0.5739625810760454,0.002305611159212806,C5H14N4,5,4,0.01152805579606403,0.009222444636851224,75.0634140337553,22.474650721078298,1.5357755764852334e-4,4.1034874140232007e-4,3.01,3.829918869124262e-6
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,837340,170413,Smp,KM1513-45m_A,A,170413,732101.5016364799,170413_Smp_KM1513-45m_A Allopurinol,RP,Allopurinol_X_RP,9,81344.61129294221,12,0.8481012658227848,1,400,1,1,Allopurinol,6475830.387471045,6466174.695705364,6471002.541588205,used relative RF,0.8382497728907972,0.0059985152141974075,C5H4N4O,5,4,0.029992576070987036,0.02399406085678963,75.0634140337553,22.474650721078298,3.995631754438942e-4,0.0010676055060685025,3.01,9.964310987038882e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,46850,170413,Smp,KM1513-45m_A,A,170413,46850,170413_Smp_KM1513-45m_A Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,9,5205.555555555556,61,0.2278481012658228,1,400,1,1,Glutathione Disulfide,1480891.373896514,843324.9727176229,1305888.0688367917,used relative RF,0.41903843437671984,0.0038051104255746896,C20H32N6O12S2,20,6,0.0761022085114938,0.022830662553448136,75.0634140337553,22.474650721078298,0.001013838891970346,0.0010158405946676602,3.01,2.5283125751326844e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,660443,170413,Smp,KM1513-45m_A,A,170413,660443,170413_Smp_KM1513-45m_A I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,9,73382.55555555556,20,0.7468354430379747,1,400,1,1,Methylthioadenosine,100395888,65555820,85624910.66666667,NA,0.910014845623046,3.767074547834354e-4,C11H15N5O3S,11,5,0.004143782002617789,0.001883537273917177,75.0634140337553,22.474650721078298,5.520375080134738e-5,8.380718780873707e-5,3.01,1.3766717616670395e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,0,170413,Smp,KM1513-45m_A,A,170413,NA,170413_Smp_KM1513-45m_A Kynurenine,RP,Kynurenine_X_RP,9,NA,79,0,1,400,1,1,Kynurenine,34068732,22632140,26481184,NA,0.7534280860084843,NA,C10H12N2O3,10,2,NA,NA,75.0634140337553,22.474650721078298,NA,NA,3.01,NA
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,262198,170413,Smp,KM1513-45m_A,A,170413,262198,170413_Smp_KM1513-45m_A Sulfurol,RP,Sulfurol_X_RP,9,29133.11111111111,36,0.5443037974683544,1,400,1,1,Sulfurol,164414928,116305160,133106810.66666669,NA,1.0047080853267951,8.713781821790866e-5,C6H9NOS,6,1,5.228269093074519e-4,8.713781821790866e-5,75.0634140337553,22.474650721078298,6.965136292260057e-6,3.877160063545936e-6,3.01,1.7369664761044914e-7
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,0,170413,Smp,KM1513-45m_A,A,170413,NA,170413_Smp_KM1513-45m_A Vitamin B5,RP,Vitamin B5_X_RP,9,NA,79,0,1,400,1,1,Vitamin B5,37068364,25428540,30543792,NA,0.5472808295696836,NA,C9H17NO5,9,1,NA,NA,75.0634140337553,22.474650721078298,NA,NA,3.01,NA
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,746003,170413,Smp,KM1513-45m_B,B,170413,746003,170413_Smp_KM1513-45m_B Agmatine,RP,Agmatine_X_RP,9,82889.22222222222,18,0.7662337662337663,1,400,1,1,Agmatine,39594888.47169144,14259471.039947825,31593254.34093568,used relative RF,0.5739625810760454,0.0018284374678228016,C5H14N4,5,4,0.009142187339114007,0.007313749871291206,79.60245855401988,23.977961274738178,1.1484805249965903e-4,3.0501967150128645e-4,3.01,3.0372715412338896e-6
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,934264,170413,Smp,KM1513-45m_B,B,170413,986568.090678438,170413_Smp_KM1513-45m_B Allopurinol,RP,Allopurinol_X_RP,9,109618.67674204866,10,0.8701298701298701,1,400,1,1,Allopurinol,6475830.387471045,6466174.695705364,6471002.541588205,used relative RF,0.8382497728907972,0.008083501657280869,C5H4N4O,5,4,0.04041750828640434,0.032334006629123474,79.60245855401988,23.977961274738178,5.077419594895575e-4,0.0013484885665900526,3.01,1.3427743616745629e-5
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,44478,170413,Smp,KM1513-45m_B,B,170413,44478,170413_Smp_KM1513-45m_B Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,9,4942,59,0.23376623376623373,1,400,1,1,Glutathione Disulfide,1480891.373896514,843324.9727176229,1305888.0688367917,used relative RF,0.41903843437671984,0.0036124589436224343,C20H32N6O12S2,20,6,0.0722491788724487,0.021674753661734606,79.60245855401988,23.977961274738178,9.076249676813551e-4,9.039448105444185e-4,3.01,2.400304945928528e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,828478,170413,Smp,KM1513-45m_B,B,170413,828478,170413_Smp_KM1513-45m_B I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,9,92053.11111111112,14,0.8181818181818181,1,400,1,1,Methylthioadenosine,100395888,65555820,85624910.66666667,NA,0.910014845623046,4.7255226980083217e-4,C11H15N5O3S,11,5,0.005198074967809154,0.0023627613490041608,79.60245855401988,23.977961274738178,6.530043245186494e-5,9.853887584235247e-5,3.01,1.7269352052522105e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,20730,170413,Smp,KM1513-45m_B,B,170413,20730,170413_Smp_KM1513-45m_B Kynurenine,RP,Kynurenine_X_RP,9,2303.3333333333335,69,0.10389610389610392,1,400,1,1,Kynurenine,34068732,22632140,26481184,NA,0.7534280860084843,4.617826156994538e-5,C10H12N2O3,10,2,4.617826156994538e-4,9.235652313989076e-5,79.60245855401988,23.977961274738178,5.801109966799311e-6,3.85172542743208e-6,3.01,1.5341615139516739e-7
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,218308,170413,Smp,KM1513-45m_B,B,170413,218308,170413_Smp_KM1513-45m_B Sulfurol,RP,Sulfurol_X_RP,9,24256.444444444445,43,0.4415584415584416,1,400,1,1,Sulfurol,164414928,116305160,133106810.66666669,NA,1.0047080853267951,7.255159390809695e-5,C6H9NOS,6,1,4.353095634485817e-4,7.255159390809695e-5,79.60245855401988,23.977961274738178,5.468544205241747e-6,3.0257615765078914e-6,3.01,1.4462111742477798e-7
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,0,170413,Smp,KM1513-45m_B,B,170413,NA,170413_Smp_KM1513-45m_B Vitamin B5,RP,Vitamin B5_X_RP,9,NA,77,0,1,400,1,1,Vitamin B5,37068364,25428540,30543792,NA,0.5472808295696836,NA,C9H17NO5,9,1,NA,NA,79.60245855401988,23.977961274738178,NA,NA,3.01,NA
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,916576,170413,Smp,KM1513-45m_C,C,170413,916576,170413_Smp_KM1513-45m_C Agmatine,RP,Agmatine_X_RP,9,101841.77777777778,11,0.8552631578947368,1,400,1,1,Agmatine,39594888.47169144,14259471.039947825,31593254.34093568,used relative RF,0.5739625810760454,0.002246508258689512,C5H14N4,5,4,0.01123254129344756,0.008986033034758048,68.21591857025845,22.043739625004427,1.6466158528494624e-4,4.0764558045156295e-4,3.01,3.7317412935041726e-6
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,1046668,170413,Smp,KM1513-45m_C,C,170413,994628.4033639678,170413_Smp_KM1513-45m_C Allopurinol,RP,Allopurinol_X_RP,9,110514.26704044089,9,0.881578947368421,1,400,1,1,Allopurinol,6475830.387471045,6466174.695705364,6471002.541588205,used relative RF,0.8382497728907972,0.008149544286844201,C5H4N4O,5,4,0.04074772143422101,0.032598177147376804,68.21591857025845,22.043739625004427,5.97334497405517e-4,0.0014787952362856063,3.01,1.3537448981468773e-5
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,33796,170413,Smp,KM1513-45m_C,C,170413,33796,170413_Smp_KM1513-45m_C Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,9,3755.1111111111113,61,0.19736842105263153,1,400,1,1,Glutathione Disulfide,1480891.373896514,843324.9727176229,1305888.0688367917,used relative RF,0.41903843437671984,0.0027448775227902284,C20H32N6O12S2,20,6,0.054897550455804564,0.016469265136741372,68.21591857025845,22.043739625004427,8.047615806750922e-4,7.471175679311747e-4,3.01,1.8238388855749023e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,605043,170413,Smp,KM1513-45m_C,C,170413,605043,170413_Smp_KM1513-45m_C I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,9,67227,21,0.7236842105263157,1,400,1,1,Methylthioadenosine,100395888,65555820,85624910.66666667,NA,0.910014845623046,3.451080692270705e-4,C11H15N5O3S,11,5,0.0037961887614977752,0.0017255403461353524,68.21591857025845,22.043739625004427,5.564960263032917e-5,7.827802249025185e-5,3.01,1.2611922795673672e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,22528,170413,Smp,KM1513-45m_C,C,170413,22528,170413_Smp_KM1513-45m_C Kynurenine,RP,Kynurenine_X_RP,9,2503.1111111111113,64,0.1578947368421053,1,400,1,1,Kynurenine,34068732,22632140,26481184,NA,0.7534280860084843,5.018349622034392e-5,C10H12N2O3,10,2,5.018349622034392e-4,1.0036699244068784e-4,68.21591857025845,22.043739625004427,7.3565668061271965e-6,4.553083739332531e-6,3.01,1.6672257880512928e-7
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,207142,170413,Smp,KM1513-45m_C,C,170413,207142,170413_Smp_KM1513-45m_C Sulfurol,RP,Sulfurol_X_RP,9,23015.777777777777,42,0.4473684210526315,1,400,1,1,Sulfurol,164414928,116305160,133106810.66666669,NA,1.0047080853267951,6.884073082668073e-5,C6H9NOS,6,1,4.130443849600844e-4,6.884073082668073e-5,68.21591857025845,22.043739625004427,6.05495599292814e-6,3.122915258379936e-6,3.01,1.372240481594965e-7
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,0,170413,Smp,KM1513-45m_C,C,170413,NA,170413_Smp_KM1513-45m_C Vitamin B5,RP,Vitamin B5_X_RP,9,NA,76,0,1,400,1,1,Vitamin B5,37068364,25428540,30543792,NA,0.5472808295696836,NA,C9H17NO5,9,1,NA,NA,68.21591857025845,22.043739625004427,NA,NA,3.01,NA
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,1200604,170413,Smp,KM1513-75m_A,A,170413,1200604,170413_Smp_KM1513-75m_A Agmatine,RP,Agmatine_X_RP,12.7,94535.74803149608,12,0.8333333333333334,1,400,1,1,Agmatine,39594888.47169144,14259471.039947825,31593254.34093568,used relative RF,0.5739625810760454,0.0020853459486690905,C5H14N4,5,4,0.010426729743345452,0.008341383794676362,47.777967647073154,13.309423119938826,2.182330110892481e-4,6.267276740327045e-4,2.05,5.086209630900221e-6
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,1368431,170413,Smp,KM1513-75m_A,A,170413,944531.462445716,170413_Smp_KM1513-75m_A Allopurinol,RP,Allopurinol_X_RP,12.7,74372.55609808788,10,0.8611111111111112,1,400,1,1,Allopurinol,6475830.387471045,6466174.695705364,6471002.541588205,used relative RF,0.8382497728907972,0.005484381843887893,C5H4N4O,5,4,0.027421909219439464,0.02193752737555157,47.777967647073154,13.309423119938826,5.739446562901114e-4,0.0016482703403340596,2.05,1.3376541082653397e-5
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,57409,170413,Smp,KM1513-75m_A,A,170413,57409,170413_Smp_KM1513-75m_A Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,12.7,4520.393700787402,54,0.25,1,400,1,1,Glutathione Disulfide,1480891.373896514,843324.9727176229,1305888.0688367917,used relative RF,0.41903843437671984,0.0033042769431614657,C20H32N6O12S2,20,6,0.06608553886322932,0.019825661658968794,47.777967647073154,13.309423119938826,0.0013831802003674736,0.0014895958660498217,2.05,3.223684822596552e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,729156,170413,Smp,KM1513-75m_A,A,170413,729156,170413_Smp_KM1513-75m_A I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,12.7,57413.85826771654,19,0.7361111111111112,1,400,1,1,Methylthioadenosine,100395888,65555820,85624910.66666667,NA,0.910014845623046,2.947325594426099e-4,C11H15N5O3S,11,5,0.0032420581538687085,0.0014736627972130494,47.777967647073154,13.309423119938826,6.785676146413722e-5,1.1072326605992092e-4,2.05,1.5814917823749796e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,27424,170413,Smp,KM1513-75m_A,A,170413,27424,170413_Smp_KM1513-75m_A Kynurenine,RP,Kynurenine_X_RP,12.7,2159.3700787401576,60,0.16666666666666663,1,400,1,1,Kynurenine,34068732,22632140,26481184,NA,0.7534280860084843,4.329202155819531e-5,C10H12N2O3,10,2,4.329202155819531e-4,8.658404311639062e-5,47.777967647073154,13.309423119938826,9.061084782422165e-6,6.505469270616185e-6,2.05,2.111805929668064e-7
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,126123,170413,Smp,KM1513-75m_A,A,170413,126123,170413_Smp_KM1513-75m_A Sulfurol,RP,Sulfurol_X_RP,12.7,9930.944881889764,40,0.4444444444444444,1,400,1,1,Sulfurol,164414928,116305160,133106810.66666669,NA,1.0047080853267951,2.970368892459754e-5,C6H9NOS,6,1,1.7822213354758522e-4,2.970368892459754e-5,47.777967647073154,13.309423119938826,3.730215878249124e-6,2.231778842472781e-6,2.05,8.693762612077328e-8
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,0,170413,Smp,KM1513-75m_A,A,170413,NA,170413_Smp_KM1513-75m_A Vitamin B5,RP,Vitamin B5_X_RP,12.7,NA,72,0,1,400,1,1,Vitamin B5,37068364,25428540,30543792,NA,0.5472808295696836,NA,C9H17NO5,9,1,NA,NA,47.777967647073154,13.309423119938826,NA,NA,2.05,NA
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,1009474,170413,Smp,KM1513-75m_B,B,170413,1009474,170413_Smp_KM1513-75m_B Agmatine,RP,Agmatine_X_RP,12.7,79486.141732283475,11,0.858974358974359,1,400,1,1,Agmatine,39594888.47169144,14259471.039947825,31593254.34093568,used relative RF,0.5739625810760454,0.0017533695674733561,C5H14N4,5,4,0.008766847837366781,0.0070134782698934245,57.91319401475138,20.196861581638636,1.5137911121140599e-4,3.472558467336091e-4,2.05,4.276511140178918e-6
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,988739,170413,Smp,KM1513-75m_B,B,170413,1214147.998756611,170413_Smp_KM1513-75m_B Allopurinol,RP,Allopurinol_X_RP,12.7,95602.2046265048,13,0.8333333333333334,1,400,1,1,Allopurinol,6475830.387471045,6466174.695705364,6471002.541588205,used relative RF,0.8382497728907972,0.007049898817485156,C5H4N4O,5,4,0.03524949408742578,0.028199595269940623,57.91319401475138,20.196861581638636,6.08660853318627e-4,0.0013962364972376416,2.05,1.719487516459794e-5
