MassFeature_Column,Identification,Confidence,mz,rt,Column,z,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B,1314_A,1314_B,1314_C,1314P_A,1314P_B,1314P_C,1545_A,1545_B,1545_C,1771_A,1771_B,1771_C,2021_A,2021_B,2021_C,2090_A,2090_B,2090_C,3430_A,3430_B,3430_C,371_A,371_B,371_C,449_A,449_B,449_C,7803_B,7803_F,8102_A,8102_F,8501_B,8501_C,8501_D,As9601_A,As9601_B,As9601_C,Cy_A,Cy_B,Cy_C,MED4_D,MED4_E,MED4_F,Nat_A,Nat_B,Nat_C,Nmar_1,Nmar_2,Nmar_3,Np_A,Np_C,Np_F,Pc55x_A,Pc55x_B,Pc55x_C,Pt_C,Pt_F,To_A,To_B,To_C,Tp_A,Tp_E,Tp_F
I131.0704R10.12_HILICPos_X_HILICPos,PANTOLACTONE ID:CCMSLIB00000578063,2,131.0704165,606.9629787,HILIC,1,251962.202136401,245337.46918652425,247292.60476581758,1988633.6448598132,2907372.710280374,2685423.5514018694,2108897.3333333335,1999957.5555555555,1984137.7777777778,910511.811023622,1752919.0551181103,1607104.724409449,473546.7,959053.6,2236838.4,1837904,1491231.8,1633235.7,2336755.8,1244154.8,657355.8947368421,1367504.2608695652,1971280.8695652173,1601474.956521739,1558787.5,2732266,1099958,1439204.8181818181,880295.0909090909,864658.7619047619,1810995.8095238095,160113,302618.5,198480,199562,194307.25,111871.75,2572594.25,567566.25,412852.5,148276.75,889171.1428571428,294709.5652173913,847082,848808.8,371327.4,3515443.0967741935,5051348.266666667,1092883.7037037036,1484125.6666666667,243173,1408321.238095238,754562.4,715022.5,850340.4,2416633.8,1931179,2231072,7.252415420018179,7.329732095577135,6.861209786694445,0,0,0,0,0,0,7.829395517025507,8.064236029352731,8.14730381803689,8.36946896432768,8.02624744428662,8.062292019340738,7.104136624233275,7.274483520577919,7.218007459052827,0,0,0,7.239337472229924,7.362543645680143,7.390420001568715,8.349551240907942,8.459541566772863,8.082552102402394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I132.102R6.53_HILICPos_X_HILICPos,Leucine,1,132.102017,391.7549062,HILIC,1,46741413.968775675,39529024.15776499,30700489.728841413,226846743.92523366,255301694.2056075,240456756.63551402,111906752,117260992,101182236.44444445,63802532.28346457,73310437.7952756,79559478.42519686,35843616,42018806.4,50235574.4,50800723.2,46215465.6,61162809.6,52841686.4,62837779.2,58615343.15789474,41142809.04347826,32158811.826086957,41665741.91304348,38472374.4,44798006.4,43348482.90909091,37104989.09090909,42727854.54545455,34363629.71428572,37864798.47619048,16156417,17147544,9115745,20900846,15576921,3813759.75,132549896,95255120,55037176,19927310,31696143.23809524,33111092.86956522,33469262.545454547,47747171.2,40068243.2,49523761.548387095,78946500.26666667,41415661.03703704,46391333.333333336,51027417.6,69367673.90476191,34917539.2,54841446.4,49552329.6,62474912,68617222.4,49967891.2,0,0,0,0,0,0,0,0,0,0,0,0,8.3903880613756,8.170922444147495,8.313370081694687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.027974571672507,0,0,0,0,0,0,0,0,0,0,0,0
I132.102R9.3_HILICPos_X_HILICPos,Trimethylammonium Propionate (TMAP),1,132.101973,558.184633,HILIC,1,94166161.6330127,74289972.0134303,115987364.50693528,364571564.7067547,417659703.4000385,390266016.44133276,167405528.9584618,166164493.18270934,164637073.23624238,98238610.35645655,126980831.29517396,174858722.41566983,133383703.65340683,399195229.97968024,286310586.38777715,139302816.81144097,175689719.7506157,213130730.46918985,204518215.91034344,282035037.71973205,109258654.44884503,164769615.55996537,81730730.01605034,169882569.82349005,187705569.33527908,250935046.5730148,206215891.20820382,246575548.6307679,263157755.5831746,134461033.47966105,130035447.11111096,77901152.02167745,163894919.86724386,139566526.29210442,140569406.85303247,178370038.89524817,78339616.87794171,1250984426.2239523,1101236900.5051103,502386527.0368095,183576600.04459992,161524668.84214485,170805618.77653858,141315827.13936374,147425364.50837928,168054985.87907875,265666841.57305816,446080683.89953536,238095255.11351967,198278341.25724682,275349292.43009114,317430375.09244925,323273203.7188704,264495474.89421326,314290238.9259921,301396805.40911317,346622663.7990827,161530753.7746342,0,0,0,0,0,0,0,0,0,9.598684500797399,9.700636943118019,9.808308947992668,0,6.7330646721301735,0,0,0,0,0,0,0,0,0,0,7.923659057096112,7.8293799462024785,7.6893102926505525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I134.0813R10.18_HILICPos_X_HILICPos,N-Hydroxy-L-valine,3,134.0812695,610.8642431,HILIC,1,231011.257189811,118735.00410846343,136851.35579293343,1353298.971962617,1053003.1775700934,791505.4205607477,359357.77777777775,383816.22222222225,366585.8888888889,495356.45669291343,298810.9448818898,360204.17322834645,1281679.7,4634906,3563369.6,641373.6,803275.6,562981.7,583087.5,700642,605023.6842105263,991366.0869565217,289221.652173913,737175.0434782609,582138.6,1596736.9,868521.8181818182,883168.7272727273,712935.3636363636,713701.5238095238,494229.04761904763,157840.25,616042.75,346837.5,238730.5,453518.25,155998.5,76199352,23371036,1294731,618082.75,3288488,2081764.347826087,1490722,5120568.4,2248692.4,2870049.0322580645,6824775.466666667,2241124,2072115.6666666667,3405635.6,2912960.761904762,1683115.4,1505614.5,2723029.8,4114609.2,2424370,1075747.9,0,0,0,0,0,0,0,0,0,0,0,0,6.5454561866727135,6.1750553368683025,6.551925842380374,6.726152228635799,7.30979222892794,6.692030821351023,7.631660042740154,7.620858945982779,7.618185040911649,6.830954880633343,6.79691152210115,6.945130914976262,0,0,0,0,0,0,0,6.057641547696342,0,0,0,0,0,5.43576974874149,5.661489994548107,5.457126861678051,0,0,0,0,0,0,0,0,0,5.388976488996214,5.125520251574384,5.203182668801118,5.801020129496844,5.735879823122815,5.6637700481171045,4.001561025086379,4.926911703008886,5.29883419132592,5.067670328286193,5.034835376817393,5.731582252907662,5.564739153457169,5.1449882011270685
I136.0508R7.09_HILICPos_X_HILICPos,NA,4,136.0507939,425.480355,HILIC,1,497993.54665030626,383136.0878613561,351192.6691274598,516817.96648513654,448379.6400369387,423925.2889234827,684536.2275051624,589275.0991100161,651874.6100288958,441278.78651921777,426629.1211851433,383275.0226231952,675621.1663392057,525537.178987801,582503.4441147541,706397.7031533509,572810.3291987308,587607.2788828558,614516.0706092806,728006.3482449949,734298.8964416019,449174.80564519094,543779.234205957,654057.2801574523,731574.78204067,531498.6768425454,554014.8670845835,602588.6683225478,603587.129845177,554173.2856309992,599870.9514299271,2197878.18229343,1945658.2326706704,2300798.833550318,2252906.0758270747,2267412.689691607,2289109.5063058506,1932446.5269964589,1893190.2125773053,2422362.791611531,2179263.7387089776,483493.04940143734,298966.66560161515,530497.1290004479,585209.2055041243,553149.4347592577,374308.6439395674,358769.5493181503,411083.3593058595,562285.1973199887,468657.69622979464,188170.59582076664,237309.26253674697,51053.20794387083,473695.78520416014,575435.7935694753,538267.5867237254,540084.8174830206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I137.0459R1.05_CyanoAq_X_RP,Allopurinol ID:FIO00455,2,137.0459343,62.90067139,RP,1,500678.8967632555,461517.4806314176,904693.2061315316,1254205.5609848192,1050038.0639711248,1214078.2944631535,623007.4908819319,500800.40877753764,604732.4059939765,495040.2399941423,495700.3009678931,636831.5573170781,322040.51692173537,802046.6459429893,933389.2527589513,182080.92652023496,338593.59133368323,496912.3778292552,1124207.951487177,596716.1564135046,314950.9212021326,272137.6443775376,217311.0213423477,226653.14360661336,139272.24744914583,275490.12335501384,2104353.1957990522,325366.95651716617,300589.6616742194,424998.0655019249,486517.62885093334,820467.0013774495,1085370.2226959036,1026729.4018599028,1703276.7227012434,1437050.3077161622,761345.9768694927,11655938.427851068,9334378.797897723,3569515.196623195,971130.0543835899,410046.49156912806,345928.05027222197,340372.11094593385,329373.1819965074,214012.32286722423,378438.65872068825,909465.2485730218,254593.67644374966,299021.3669900037,867637.3913835116,1752518.2720886995,1350939.0841304683,266034.31275120936,1769011.2175047635,1567734.740099773,494286.245866106,300238.1989039656,7.790001631952534,7.696279248368821,7.676648583429084,5.554141950038705,5.640702448889072,5.559477570754456,0,0,0,5.579059732699585,5.5335516367422555,5.698720946583265,6.485647225304706,6.242173029583084,6.257268828198198,6.715074307279557,6.604253990471769,6.41174597440664,5.563112070794626,5.665528854350636,5.643948874180651,6.412994850795491,6.422784243102376,6.484062221275121,6.8058047216458,6.7240731970108625,6.656813665414184,5.2316749785581695,5.009556832024187,5.802629767368444,5.755231606569512,4.547763409581793,4.566097028182133,4.641439836616096,5.8111401505549,5.191414558290544,5.591000280311062,5.299347560358544,5.73283911112603,5.372073433149632,5.769718435197598,5.83895148010127,6.01408960493549,6.421828592954714,6.297985956583145,6.488500645413708,0,0,0,5.210967700291055,5.173048706539585,5.558132773448488,5.514076558407922,5.507482871163337,5.71947723362683,4.487327553083217,4.490130173021488,5.704266972648139,5.5356054503427625,5.377141692835724,5.406785352252507,5.628430674929896,5.257949934947097
I137.0459R6.2_HILICPos_X_HILICPos,Allopurinol ID:FIO00455,2,137.0458775,372.2149785,HILIC,1,9688049.301561216,8148917.00903862,7946099.589153657,21396758.13084112,16119386.915887851,18909203.738317758,14529269.333333334,12982739.555555556,13052808.888888888,6730613.543307087,8543336.692913387,10988813.858267717,2152672,4076986.8,5584469.2,2069624.6,2191800.8,4720285.6,5950429.6,5196101.6,3277140,1840851.652173913,1435004.608695652,1967913.7391304348,1145069,1756034.8,21149572.363636363,3656626.5454545454,2943011.272727273,2646904.761904762,2713756.380952381,4802418.5,5697694.5,6905035.5,5548631,4987164,3411372.75,74971864,73489928,13483643,5421564,2435939.0476190476,1489357.9130434783,1791924,3749605.6,1721993.8,4528745.29032258,6801462.933333334,2003073.4814814816,2910500.6666666665,3274793,6659774.476190476,5908038.8,3086350.8,15262160,7270423.2,3453095.2,2165445.6,8.508185185577494,8.445268560725472,8.398360225669109,5.887026964461694,5.6530158945473366,5.893483777220606,0,0,0,6.308258633285305,6.202588318773785,6.598539401893619,6.305856698259168,6.1226273996926075,6.248996070138096,6.557730521604233,7.691530922059391,6.447542162862099,0,0,0,5.570468061374181,0,0,7.139632471981051,7.08779700394209,6.730823090263337,5.185785488434235,5.311039711287084,0,7.146293087633236,5.227163480455665,0,5.267962449701664,0,0,0,5.15170728274322,0,5.892275475813133,5.83217436615148,5.85893696684452,6.051671486109111,6.204606279724443,6.502429881259562,6.313830734363244,0,0,0,4.655597215819769,5.48809458982125,5.60395741131375,6.2039019013019345,6.131829874030094,6.4265963944752995,4.30828761482871,4.310310301847761,6.6606959577501375,6.522630812045008,6.553298090561268,5.587703026779713,5.327055532829564,5.235666519555356
I137.0459R7.49_HILICPos_X_HILICPos,Hypoxanthine; Hypoxanthine; Hypoxanthine; Hypoxanthine; Hypoxanthine;,3,137.0458872,449.4238978,HILIC,1,2081395.8759780892,1592667.3853878446,5326324.979832206,4351077.697711402,4022893.685046785,3318562.5319308736,2969375.8272694875,2579670.72078412,2485992.214901989,2610935.6046222784,1827484.1357566703,3475194.5227232235,2679094.866558728,4031009.0338178882,4508585.668163552,854831.9477477905,895893.2890098073,1253738.7297437615,4467883.296006912,1150262.1513439016,485192.78082285833,697897.6152851982,490960.48035950295,747991.1689471987,731767.1655798636,758495.793986954,818728.2898278591,1583327.0986516513,1407446.2533319166,1175910.6846230102,1405590.3395025919,4459036.764267459,5321737.633026096,7088691.593624428,5634515.489925681,4013741.449111508,2947127.441307375,64248985.94112537,64286467.56662411,18238685.15195981,4819380.706349235,5327256.165674697,2140911.6023968603,3207898.1239276575,3847965.5516166305,2004540.7606671755,1175729.30747102,4261725.935238375,1065643.0365755798,833131.6754971881,5081489.362993107,18718176.63709357,12275690.119157132,2279007.522643941,3849308.946077236,9663507.361538611,2245230.4216373647,993870.3026582634,8.344584845462693,8.233060862212074,8.265983727947347,0,5.338402539520674,5.624899250428422,6.045985799230284,6.030036083642557,6.128304946249038,6.33664720891178,5.907344635090119,6.478372666359696,7.443650778512956,7.2096496667708445,7.0422189425946105,7.494219574173294,7.463106192075747,7.127462337514535,0,0,0,7.3626763250192075,7.397112008968625,7.466043986697363,7.6902360764866255,7.6364187378386905,7.55995928278001,6.366205585044772,6.442846096479002,6.953208705991613,6.869968781319322,0,4.47698067608707,4.6210134252217445,5.729203851271212,6.276351980580547,5.384638861611098,5.1629842442562985,5.4972260784980245,4.862727570354878,6.628156667654447,6.936178606723329,6.750999525045177,6.641088098321618,6.990244244713635,6.6151792219988765,0,0,0,6.403700805425249,6.328782034056139,6.773223228961833,6.25457039990186,6.299758724814229,6.525747519822527,0,0,6.267941242389855,6.047732407375161,6.027775632808331,5.183983734491237,5.3902735850461605,5.090863024355706
I138.0549R5.35_HILICPos_X_HILICPos,Homarine,1,138.0548868,321.127119,HILIC,1,289200044.7000822,280880928.18405914,442987953.3278554,559199365.9813085,555855383.9252337,436606229.5327103,270118229.3333333,332318464,302145137.7777778,294666461.7322835,258723598.11023623,451040393.07086617,881146470.4,771875481.6,899017728,100376537.6,121893004.8,78328896,279372364.8,109572236.8,68350598.73684211,93397915.82608695,91817316.17391305,111166163.47826087,93547123.2,94938988.8,914044834.9090909,963009536,906366789.8181819,739799868.9523809,808821906.2857143,80921624,77787560,83650296,108803840,80849232,27639546,3112548096,2545569536,554606272,153605376,1168622543.2380953,893119888.6956521,978765358.5454545,1320657510.4,969958297.6,650018882.0645162,824748441.6,457222106.0740741,544301013.3333334,784791910.4,1398992115.8095238,1394874163.2,760505753.6,754296371.2,1019663052.8,670646630.4,375564108.8,0,0,0,0,0,0,0,0,0,0,0,0,6.260653324868107,6.013768066786088,6.144881265542118,0,0,0,0,0,0,8.918878377349461,8.978577273319152,9.024611443039666,6.550608695004263,6.380718572746012,6.227977529559408,9.017917303159049,9.105337381807281,11.078304336856146,11.049978034923312,0,0,0,0,0,0,9.700210656989944,10.149438061039113,9.885029670011804,0,0,0,0,0,0,0,0,0,0,0,0,8.846221422757816,8.858764214353497,8.97829786022836,0,0,8.169676168690547,8.074065677804038,8.14021008914852,9.534287945154945,9.430615793383607,9.210567832814045
I138.055R7.72_HILICPos_X_HILICPos,Trigonelline,1,138.054973,462.9418971,HILIC,1,66659000.565609604,66526534.67866725,141876487.14865088,73507177.88156685,78506542.00555307,79975714.39095792,93232482.51822847,91921186.54663207,61248191.79256826,99750051.5346857,57202682.33747018,86752678.86577281,115328544.65766959,200342762.70181972,161683483.85651034,98783227.01346958,112696221.35172391,65926365.42954966,100366544.63211063,82189398.69081955,62152637.16767591,91862609.70112574,40387968.598831646,85869783.40967385,70033612.03578472,85801328.43841575,82587931.8579927,127406396.34767818,137529651.9639652,77742644.63300495,90660634.30265044,32762581.687572572,43533518.60264561,37789935.099378705,82467838.93578963,50648872.93231975,10879679.311363796,1196608473.784921,873485470.4077103,293866091.5824565,54768026.168027915,240282037.59941536,176071500.94917917,152164573.5226501,225559649.0131015,151726741.3440815,178718497.0153257,322877237.5180979,101864262.73041536,91737298.02618228,158249225.05675232,242261908.30771706,255601663.33047193,192713036.53382307,159631410.31140837,223741793.14692315,201180130.8332342,95467585.90558355,8.195543860052199,8.21937015604959,8.039791861017873,0,0,0,9.174164682625761,9.160582328431323,9.169291759917682,9.552331947121543,9.665429683519404,9.78206227136396,7.224659127144093,7.009821100192366,7.141189933719337,0,0,7.9193634127246195,0,0,0,0,0,0,8.523947896245298,8.441409482751911,8.285381765433756,0,0,0,0,0,0,0,0,0,0,8.258618960195498,8.699638416419273,8.419845976189476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.405625046080615,8.440604194180322,0,0,0,8.814850048709484,8.775388911072497,8.489856688040096
I139.0157R7.24_HILICNeg_X_HILICNeg,(S)-2-Hydroxypropylphosphonate,3,139.0156775,434.5020319,HILIC,-1,128252.92027215793,130803.6056648792,32505.169944619083,657755.891666679,818498.8078368435,809987.7981491367,177589.21450151398,156002.4935737729,333418.1212624608,190997.2461832818,400952.3224467413,612418.283720153,898570.7126452392,698441.9691700932,709649.9444515114,1028068.7355962291,993258.2294928668,1346230.8782712235,1426003.4318492408,1547117.3935332117,1221520.2208462707,1090793.0007352561,476248.21268271096,582182.5842470028,753085.7560431224,1112248.5851931837,673657.4970482438,546879.8240478495,580938.9930138633,906934.1349630434,896087.0779012807,NA,NA,NA,NA,NA,NA,15729456.480920963,7193089.6076115705,234721.32747611502,77412.6578803546,2212364.015981503,437884.54562936956,386107.8433346678,1429214.2804174097,831194.1221407215,817459.8533636715,1393689.9149227878,537123.9582126753,746372.4397082254,2667606.4947118554,2788833.571671406,6590071.317632263,690041.0974532741,910748.2415108302,1902217.3033880987,734091.939473948,287650.78187185794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I141.0659R7.2_HILICPos_X_HILICPos,Methylimidazoleacetic acid; Dihydrourocanate;,3,141.0658822,432.0951942,HILIC,1,7990126.540673788,7655743.631881677,11844698.76746097,4445857.943925234,4544898.6915887855,3863330.8411214957,5523132.888888889,6501520.444444444,6218833.777777778,6602599.055118111,6478890.7086614175,9322861.102362204,8916120.8,9811566.4,10299199.2,12587064,12178495.2,4164749.6,7590556,4379897.6,3247774.3157894737,10512176.695652174,8102841.043478261,11782628.173913043,8631278.4,9976912.8,8677409.454545455,9935589.818181818,11262229.090909092,14713237.333333334,16333947.42857143,3572491.5,4883965,4947538,6912315,5034609.5,1285143.25,64466888,47446496,14550914,4983052.5,17668621.714285713,10963145.043478262,11041410.181818182,14821515.2,10895663.2,11027036.903225806,14127109.333333334,7073133.62962963,7129171.333333333,7665481.6,12011191.61904762,18701334.4,12244480.8,10399020,15019380.8,11727584.8,6292136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.054298186245938,0,7.081354732357143,0,0,0,0,0,0,6.717895036855739,6.83131434825532,6.814165643159824,6.756570568221365,0,0,0,0,6.628786304663739,6.618609212117364,5.821053921375901,6.304190472532454,5.98620709117542,0,0,0,0,0,0,0,0,0,6.627248838620155,6.580579315103135,6.543689138383085,0,6.291975534922961,6.54900065641746,6.26996390120255,6.254068778096804,0,5.734321249802067,0,0,0,0
I143.0816R7.97_HILICPos_X_HILICPos,Ectoine,1,143.0815933,478.4273219,HILIC,1,20023484.634346753,14557555.95727198,20210003.615447823,14199857.943925235,16192571.214953272,11014757.383177571,14512396.444444444,16330364.444444444,13967336.888888888,13382837.165354332,13312598.42519685,16094100.157480316,43013964.8,32175977.6,74702611.2,45036707.2,46306067.2,196525068.8,62316678.4,225303731.2,8732814.315789474,31618796.52173913,10219925.56521739,39514123.13043478,12819742.4,18146128,39305649.45454545,33727357.09090909,31230749.09090909,32618331.42857143,34467772.952380955,26120472,34243856,19210140,27752228,16478822,11697929,523219136,373493408,41565328,36382288,40702019.047619045,25069056,50638824.72727273,22913124.8,35684163.2,33266477.419354837,55455347.2,14119764.148148147,26795242.666666668,23235204.8,57015369.14285714,38027670.4,49537174.4,46886134.4,58078592,43661670.4,33594406.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57173089397392,7.315522178919707,7.468269358300741,0,0,0,0,0,0,0,0,0,6.13625022542854,6.297348598985858,6.653506850948185,0,0,0,0,0,0,0,6.379352226339576,6.794629376701507,6.53393355886466,0,0,6.684604233291554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I144.1019R6.44_HILICPos_X_HILICPos,Stachydrine hydrochloride,1,144.1019499,386.2657313,HILIC,1,32191129.663106,24998760.23007395,23802875.267050125,221903216.44859815,231028563.73831776,213816535.3271028,87524423.1111111,93391928.8888889,82266666.66666667,50785673.070866145,53435882.83464567,68992624.88188976,31900784,24858769.6,26416190.4,42488076.8,39525484.8,38258038.4,37333689.6,41641747.2,35511912.421052635,36876396.52173913,25655883.13043478,39543663.30434783,32798064,38118044.8,27769952,29341908.363636363,31289245.09090909,30327180.19047619,34230771.809523806,8345670.5,12483651,8043586.5,8111591,13647759,3052989.5,69198912,76974512,47034624,12574366,32506529.523809522,30958138.43478261,33990123.63636363,43569427.2,37450960,25410421.677419353,34893538.13333333,21260847.407407407,22819341.333333332,38345440,37944755.809523806,28450480,36857017.6,34393091.2,30918627.2,36961875.2,22879692.8,7.366890759930661,7.370657613132567,7.292954112972752,0,0,0,0,0,0,0,0,0,8.325183392387721,8.085189113067054,8.233873931548139,7.800838356630097,7.7796657749681675,7.904700777466193,0,0,0,7.799081939117088,7.843129200620104,7.858334377187408,7.698131734973048,7.644937821155398,7.502298651958505,0,0,0,0,6.706793799677905,6.751579044501308,6.806560590503142,0,0,0,6.76044960297355,7.179385707479393,6.950415317947403,0,0,0,0,0,0,0,0,0,0,0,0,0,6.289042400175556,0,5.739655823307835,5.718979842646182,6.375812850359659,6.247021640256335,6.233683805631,6.948326506474668,6.92225811637925,6.6603766583936865
I145.0608R10.18_HILICPos_X_HILICPos,NA,4,145.0608101,610.8323968,HILIC,1,198448.99833380926,149123.48525720616,223188.15958107973,296020.82042185,278860.4760798679,231025.02140734755,153029.6516420269,280286.2451561244,132920.4054601341,282520.12691217713,82624.88916552548,174976.67844593475,1101372.6404663962,1849779.2049529075,1447333.636987341,442914.3003909706,265575.3508058047,429978.9868135834,516243.29202496243,707661.81675238,337735.72752855305,92549.72427288051,158399.73574268477,506173.5156658964,217341.93700534198,92043.66344727691,768982.2729866758,1916104.6639431631,2545494.571120312,1191140.24156222,791850.468254791,120048.69181168597,500745.1985687221,174442.27904601602,89608.61940111258,206663.2062949281,36886.560668205,49657574.90892924,18484495.409178942,958860.3851790557,244944.428654961,3991604.7538378453,3191660.7684093304,407359.7326403588,14831960.476663548,7891279.437606024,2152068.5428086366,3420500.576571947,2585411.798358316,1663140.2723505972,3342919.2363889404,3389271.349511116,2745928.607386991,2190576.2558644777,3287639.2316368097,3450931.075165366,1066123.5174286296,336697.47926189716,0,0,0,6.793380903901094,6.77302393355707,6.712848885823234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.031306936929212,5.027810706331896,6.17362037879347,6.066099382283989,0,4.718417937529508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I146.0601R1.92_CyanoAq_X_RP,NA,4,146.0601298,115.1621115,RP,1,42761.21610517667,38125.3081347576,49834.839769926046,80781.4953271028,80211.96261682243,80937.10280373832,40593.11111111111,61257.666666666664,54169.444444444445,58836.61417322835,50021.88976377953,79494.64566929135,10519.2,36928.3,24347.3,8045.6,14994.5,19085.9,42642.8,16193,8498.21052631579,8954.173913043478,3057.8260869565215,7585.391304347826,7070,14230,7564.545454545455,9427.09090909091,8456.454545454546,18050.761904761905,13725.52380952381,17167.75,24259.25,15152.75,44852.5,23086.75,13828,531294.25,303510.5,147582.5,43824,21013.809523809523,23160.347826086956,14110.90909090909,17366.3,14804.3,14518.838709677419,19526.333333333332,14772.518518518518,11520.833333333334,54858.7,41083.04761904762,52512.1,15818.5,23800.9,37473.7,18863.6,11201.9,0,0,0,0,0,0,0,0,0,5.684767871950823,5.874237356806429,5.945478037495145,5.248278732748866,4.967033078592137,5.173009133507984,5.396222158033582,5.300016701339174,5.387492241659806,5.6777830517372525,5.7111437568187435,5.784468728336009,0,0,0,0,0,0,5.74422887874563,5.509234187189884,5.9652688187415945,6.0073875454365115,4.696795236142682,4.905756496548846,4.8890123496795725,0,0,0,5.302825390963803,5.638752333378183,5.402928178416964,6.1516577542986575,6.139990555971945,6.1094264509080105,0,0,0,0,0,0,5.2118294091262,5.153340653761959,5.099311244066454,6.102277860482379,6.129466434084957,6.095389627359937,4.697706279935326,4.610031139936856,6.367008614782748,6.223684247956817,6.261033961013831,5.926108060247778,5.940370115473989,5.710714293085844
I148.0605R12.12_HILICPos_X_HILICPos,Glutamic acid,1,148.0604571,727.2183115,HILIC,1,12495862.2642723,9638583.227265144,11832072.926789586,32629629.870003212,44644895.300089784,37404248.398599334,20896498.257572636,32593619.45578301,28071504.34654057,14804728.032868898,23793947.81564258,41244955.70368738,9206852.045380706,15216590.129735196,12926266.658410806,7543822.639649294,8390756.743339045,13595689.521917352,9156239.823535314,7849905.448813054,5629908.482202432,5628133.9427766,4283704.656656658,5068626.62255667,5769205.440022103,10203279.942735983,13801708.92499659,15731505.647641487,13422364.85118664,13529249.10573769,8499494.783615021,9338712.715314781,5773726.314770727,4731052.719749666,4101916.8859691243,7418821.130888271,3395389.266060231,62082507.83732264,57654800.74347419,12770969.06044842,6235747.620053138,10141704.998540916,12549875.825886277,8290807.513978835,13740625.614972746,10540517.725946434,16841655.801163763,22086748.544508677,19849975.207191132,13260232.676496288,22510596.378496163,17554058.86950473,9824925.941523967,14089057.72997796,21247551.36461302,17131792.8428889,22645964.483258523,15420677.837244883,8.139194616193645,8.14236119920571,8.044764358399958,9.548656140734208,9.490898925701558,9.545099957125789,8.48436441078764,8.495888288333749,8.495476669677972,8.005255254369926,8.088694168652303,8.267354325593788,8.199448363504864,8.01339391244142,7.954573660900043,8.413152417185414,8.735804884043267,8.506148481132746,9.399246782745706,9.399275686948979,9.398022456516376,8.555509261526252,8.54812593621495,8.534623736233756,8.393836245174388,8.36218594416323,8.2555098861436491,9.476939600672662,9.603932400968576,9.964773387726519,9.903824961218689,8.545599281519449,8.50511064451262,8.46125925666942,9.532070254703553,9.506126446796813,9.515603803398385,8.330856332270082,8.75098719903214,8.511479260468318,10.10093643037568,10.197405996827559,10.19284011272176,10.322896103224107,10.412758607282512,10.411428163406029,10.807409027310058,0,10.942184057217538,8.798737942394087,8.74280737046054,8.66656881562865,8.011127277131378,8.038493401435108,8.088037562284763,8.159647159202999,8.19017488208228,8.457917352146728,8.28247591692188,8.308797729201036,8.585681957345527,8.444662122937757,8.16481191297846
