"","Identification","MassFeature_Column","Rank","RankPercent","SampID","nmolinEnviroave","nmolCave","nmolNave","percentCave","percentNave","totalCmeasured_nM","totalNmeasured_nM","molFractionC","molFractionN"
"12","Kynurenine","Kynurenine_X_RP",66,0.164556962025316,"KM1513-15m_B",8.06428141347595e-05,0.000806428141347595,0.000161285628269519,2.32400040734177e-05,NA,131.905942835892,26.7615565773666,6.11366041597456e-06,6.02676558828887e-06
"13","Sulfurol","Sulfurol_X_RP",73,0.0759493670886076,"KM1513-15m_B",5.41073599335585e-06,3.24644159601351e-05,5.41073599335585e-06,9.35573946977956e-07,NA,131.905942835892,26.7615565773666,2.46117917526468e-07,2.0218315693684e-07
"14","Vitamin B5","Vitamin B5_X_RP",79,0,"KM1513-15m_B",NA,NA,NA,NA,NA,131.905942835892,26.7615565773666,NA,NA
"15","Agmatine","Agmatine_X_RP",31,0.602564102564103,"KM1513-15m_C",NA,NA,NA,NA,NA,127.805125071661,28.5713365497613,NA,NA
"16","Allopurinol","Allopurinol_X_RP",28,0.641025641025641,"KM1513-15m_C",NA,NA,NA,NA,NA,127.805125071661,28.5713365497613,NA,NA
"17","Glutathione Disulfide","Glutathione Disulfide_X_RP",63,0.192307692307692,"KM1513-15m_C",NA,NA,NA,NA,NA,127.805125071661,28.5713365497613,NA,NA
"18","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",27,0.653846153846154,"KM1513-15m_C",0.00103178218353159,0.0113496040188475,0.00515891091765794,0.000327077925615201,NA,127.805125071661,28.5713365497613,8.88039819411287e-05,0.000180562463666091
"19","Kynurenine","Kynurenine_X_RP",67,0.141025641025641,"KM1513-15m_C",9.27849565476674e-05,0.000927849565476674,0.000185569913095335,2.67391805612874e-05,NA,127.805125071661,28.5713365497613,7.25987760628868e-06,6.49496787705876e-06
"20","Sulfurol","Sulfurol_X_RP",71,0.0897435897435898,"KM1513-15m_C",5.63510610366053e-06,3.38106366219632e-05,5.63510610366053e-06,9.7436993146868e-07,NA,127.805125071661,28.5713365497613,2.64548363009742e-07,1.97229348856191e-07
"21","Vitamin B5","Vitamin B5_X_RP",78,0,"KM1513-15m_C",NA,NA,NA,NA,NA,127.805125071661,28.5713365497613,NA,NA
"22","Agmatine","Agmatine_X_RP",11,0.864197530864198,"KM1513-45m_A",NA,NA,NA,NA,NA,80.5637343864751,23.1392633972158,NA,NA
"23","Allopurinol","Allopurinol_X_RP",14,0.827160493827161,"KM1513-45m_A",NA,NA,NA,NA,NA,80.5637343864751,23.1392633972158,NA,NA
"24","Glutathione Disulfide","Glutathione Disulfide_X_RP",63,0.222222222222222,"KM1513-45m_A",NA,NA,NA,NA,NA,80.5637343864751,23.1392633972158,NA,NA
"25","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",22,0.728395061728395,"KM1513-45m_A",0.00044775615989888,0.00492531775888768,0.0022387807994944,0.000163631819232149,NA,80.5637343864751,23.1392633972158,6.11356685038986e-05,9.6752466189731e-05
"26","Kynurenine","Kynurenine_X_RP",81,0,"KM1513-45m_A",NA,NA,NA,NA,NA,80.5637343864751,23.1392633972158,NA,NA
"27","Sulfurol","Sulfurol_X_RP",38,0.530864197530864,"KM1513-45m_A",7.19563920603399e-05,0.000431738352362039,7.19563920603399e-05,1.43434668558817e-05,NA,80.5637343864751,23.1392633972158,5.35896648349159e-06,3.10970970964434e-06
"28","Vitamin B5","Vitamin B5_X_RP",81,0,"KM1513-45m_A",NA,NA,NA,NA,NA,80.5637343864751,23.1392633972158,NA,NA
"29","Agmatine","Agmatine_X_RP",20,0.746835443037975,"KM1513-45m_B",NA,NA,NA,NA,NA,86.7999845050636,24.7895418352949,NA,NA
"30","Allopurinol","Allopurinol_X_RP",12,0.848101265822785,"KM1513-45m_B",NA,NA,NA,NA,NA,86.7999845050636,24.7895418352949,NA,NA
"31","Glutathione Disulfide","Glutathione Disulfide_X_RP",61,0.227848101265823,"KM1513-45m_B",NA,NA,NA,NA,NA,86.7999845050636,24.7895418352949,NA,NA
"32","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",16,0.79746835443038,"KM1513-45m_B",0.00056167773424914,0.00617845507674054,0.0028083886712457,0.000205264288263805,NA,86.7999845050636,24.7895418352949,7.11803707335928e-05,0.000113289252778652
"33","Kynurenine","Kynurenine_X_RP",71,0.10126582278481,"KM1513-45m_B",4.79492380271951e-05,0.000479492380271951,9.58984760543902e-05,1.59299794110283e-05,NA,86.7999845050636,24.7895418352949,5.52410674962712e-06,3.86850538390555e-06
"34","Sulfurol","Sulfurol_X_RP",45,0.430379746835443,"KM1513-45m_B",5.99114258610236e-05,0.000359468555166142,5.99114258610236e-05,1.19424769158187e-05,NA,86.7999845050636,24.7895418352949,4.14134354073729e-06,2.41680246690654e-06
"35","Vitamin B5","Vitamin B5_X_RP",79,0,"KM1513-45m_B",NA,NA,NA,NA,NA,86.7999845050636,24.7895418352949,NA,NA
"36","Agmatine","Agmatine_X_RP",13,0.833333333333333,"KM1513-45m_C",NA,NA,NA,NA,NA,75.1403681431886,23.0043049820629,NA,NA
"37","Allopurinol","Allopurinol_X_RP",11,0.858974358974359,"KM1513-45m_C",NA,NA,NA,NA,NA,75.1403681431886,23.0043049820629,NA,NA
"38","Glutathione Disulfide","Glutathione Disulfide_X_RP",63,0.192307692307692,"KM1513-45m_C",NA,NA,NA,NA,NA,75.1403681431886,23.0043049820629,NA,NA
"39","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",23,0.705128205128205,"KM1513-45m_C",0.000410196989374856,0.00451216688312342,0.00205098494687428,0.000149905876515728,NA,75.1403681431886,23.0043049820629,6.00498373194681e-05,8.91565708450439e-05
"40","Kynurenine","Kynurenine_X_RP",66,0.153846153846154,"KM1513-45m_C",5.21080769067367e-05,0.000521080769067367,0.000104216153813473,1.73116534573876e-05,NA,75.1403681431886,23.0043049820629,6.93476465372631e-06,4.53028917390609e-06
"41","Sulfurol","Sulfurol_X_RP",44,0.435897435897436,"KM1513-45m_C",5.68470810767547e-05,0.000341082486460528,5.68470810767547e-05,1.13316440684561e-05,NA,75.1403681431886,23.0043049820629,4.53927089910654e-06,2.47114968789885e-06
"42","Vitamin B5","Vitamin B5_X_RP",78,0,"KM1513-45m_C",NA,NA,NA,NA,NA,75.1403681431886,23.0043049820629,NA,NA
"43","Agmatine","Agmatine_X_RP",14,0.810810810810811,"KM1513-75m_A",NA,NA,NA,NA,NA,53.0280091003406,13.7470874149438,NA,NA
"44","Allopurinol","Allopurinol_X_RP",12,0.837837837837838,"KM1513-75m_A",NA,NA,NA,NA,NA,53.0280091003406,13.7470874149438,NA,NA
"45","Glutathione Disulfide","Glutathione Disulfide_X_RP",56,0.243243243243243,"KM1513-75m_A",NA,NA,NA,NA,NA,53.0280091003406,13.7470874149438,NA,NA
"46","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",21,0.716216216216216,"KM1513-75m_A",0.000350320433900249,0.00385352477290274,0.00175160216950124,0.000187976818190377,NA,53.0280091003406,13.7470874149438,7.26696106129691e-05,0.000127416238555169
"47","Kynurenine","Kynurenine_X_RP",62,0.162162162162162,"KM1513-75m_A",4.4952308203031e-05,0.00044952308203031,8.99046164060621e-05,2.19279552209908e-05,NA,53.0280091003406,13.7470874149438,8.47708766851333e-06,6.53990286759441e-06
"48","Sulfurol","Sulfurol_X_RP",42,0.432432432432432,"KM1513-75m_A",2.4528618338271e-05,0.000147171710029626,2.4528618338271e-05,7.17910780632321e-06,NA,53.0280091003406,13.7470874149438,2.77535801412315e-06,1.78427746895732e-06
"49","Vitamin B5","Vitamin B5_X_RP",74,0,"KM1513-75m_A",NA,NA,NA,NA,NA,53.0280091003406,13.7470874149438,NA,NA
"50","Agmatine","Agmatine_X_RP",13,0.8375,"KM1513-75m_B",NA,NA,NA,NA,NA,64.1061164182808,21.1824924475866,NA,NA
"51","Allopurinol","Allopurinol_X_RP",15,0.8125,"KM1513-75m_B",NA,NA,NA,NA,NA,64.1061164182808,21.1824924475866,NA,NA
"52","Glutathione Disulfide","Glutathione Disulfide_X_RP",63,0.2125,"KM1513-75m_B",NA,NA,NA,NA,NA,64.1061164182808,21.1824924475866,NA,NA
"53","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",12,0.85,"KM1513-75m_B",0.000580723348065672,0.00638795682872239,0.00290361674032836,0.00031160765018158,NA,64.1061164182808,21.1824924475866,9.96466044993606e-05,0.000137076255191073
"54","Kynurenine","Kynurenine_X_RP",70,0.125,"KM1513-75m_B",3.05244269018686e-05,0.000305244269018686,6.10488538037372e-05,1.48899643423749e-05,NA,64.1061164182808,21.1824924475866,4.76154673022185e-06,2.88204298690509e-06
"55","Sulfurol","Sulfurol_X_RP",46,0.425,"KM1513-75m_B",2.56062415649018e-05,0.000153637449389411,2.56062415649018e-05,7.49450972631272e-06,NA,64.1061164182808,21.1824924475866,2.39661139955748e-06,1.20883987700037e-06
"56","Vitamin B5","Vitamin B5_X_RP",80,0,"KM1513-75m_B",NA,NA,NA,NA,NA,64.1061164182808,21.1824924475866,NA,NA
"57","Agmatine","Agmatine_X_RP",17,0.802325581395349,"KM1513-75m_C",NA,NA,NA,NA,NA,88.5035322740493,27.2985051491506,NA,NA
"58","Allopurinol","Allopurinol_X_RP",18,0.790697674418605,"KM1513-75m_C",NA,NA,NA,NA,NA,88.5035322740493,27.2985051491506,NA,NA
"59","Glutathione Disulfide","Glutathione Disulfide_X_RP",79,0.0813953488372093,"KM1513-75m_C",NA,NA,NA,NA,NA,88.5035322740493,27.2985051491506,NA,NA
"60","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",10,0.883720930232558,"KM1513-75m_C",0.00102258324988639,0.0112484157487502,0.00511291624943193,0.000548703207256109,NA,88.5035322740493,27.2985051491506,0.000127095670192233,0.000187296565196392
"61","Kynurenine","Kynurenine_X_RP",73,0.151162790697674,"KM1513-75m_C",0.000109541746375152,0.00109541746375152,0.000219083492750303,5.34349982317813e-05,NA,88.5035322740493,27.2985051491506,1.23771044567982e-05,8.02547581097568e-06
"62","Sulfurol","Sulfurol_X_RP",44,0.488372093023256,"KM1513-75m_C",5.55902667124529e-05,0.000333541600274717,5.55902667124529e-05,1.62703219646204e-05,NA,88.5035322740493,27.2985051491506,3.76868122327494e-06,2.03638501114712e-06
"63","Vitamin B5","Vitamin B5_X_RP",86,0,"KM1513-75m_C",NA,NA,NA,NA,NA,88.5035322740493,27.2985051491506,NA,NA
"64","Agmatine","Agmatine_X_RP",15,0.772727272727273,"KM1513-125m_A",NA,NA,NA,NA,NA,39.2724622036602,14.3861311489374,NA,NA
"65","Allopurinol","Allopurinol_X_RP",13,0.803030303030303,"KM1513-125m_A",NA,NA,NA,NA,NA,39.2724622036602,14.3861311489374,NA,NA
"66","Glutathione Disulfide","Glutathione Disulfide_X_RP",62,0.0606060606060606,"KM1513-125m_A",NA,NA,NA,NA,NA,39.2724622036602,14.3861311489374,NA,NA
"67","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",28,0.575757575757576,"KM1513-125m_A",0.000162775216255723,0.00179052737881296,0.000813876081278617,0.000142105347524838,NA,39.2724622036602,14.3861311489374,4.55924400544991e-05,5.65736592314282e-05
"68","Kynurenine","Kynurenine_X_RP",50,0.242424242424242,"KM1513-125m_A",9.75540549141253e-05,0.000975540549141253,0.000195108109828251,7.74238531064487e-05,NA,39.2724622036602,14.3861311489374,2.48403205300006e-05,1.35622362821753e-05
"69","Sulfurol","Sulfurol_X_RP",37,0.439393939393939,"KM1513-125m_A",3.82482106688029e-05,0.000229489264012817,3.82482106688029e-05,1.82134336518109e-05,NA,39.2724622036602,14.3861311489374,5.84351607043953e-06,2.65868636069177e-06
"70","Vitamin B5","Vitamin B5_X_RP",66,0,"KM1513-125m_A",NA,NA,NA,NA,NA,39.2724622036602,14.3861311489374,NA,NA
"71","Agmatine","Agmatine_X_RP",23,0.671428571428571,"KM1513-125m_B",NA,NA,NA,NA,NA,38.9246743583082,16.7906989434545,NA,NA
"72","Allopurinol","Allopurinol_X_RP",13,0.814285714285714,"KM1513-125m_B",NA,NA,NA,NA,NA,38.9246743583082,16.7906989434545,NA,NA
"73","Glutathione Disulfide","Glutathione Disulfide_X_RP",64,0.0857142857142857,"KM1513-125m_B",NA,NA,NA,NA,NA,38.9246743583082,16.7906989434545,NA,NA
"74","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",25,0.642857142857143,"KM1513-125m_B",0.000221634023711984,0.00243797426083182,0.00110817011855992,0.000193490020700938,NA,38.9246743583082,16.7906989434545,6.26331318379149e-05,6.59990463941892e-05
"75","Kynurenine","Kynurenine_X_RP",62,0.114285714285714,"KM1513-125m_B",4.30390064297366e-05,0.000430390064297366,8.60780128594731e-05,3.4157941610902e-05,NA,38.9246743583082,16.7906989434545,1.10569984564431e-05,5.12652946427991e-06
"76","Sulfurol","Sulfurol_X_RP",42,0.4,"KM1513-125m_B",2.80367136943743e-05,0.000168220282166246,2.80367136943743e-05,1.33508160449401e-05,NA,38.9246743583082,16.7906989434545,4.32168759121141e-06,1.66977645116458e-06
"77","Vitamin B5","Vitamin B5_X_RP",70,0,"KM1513-125m_B",NA,NA,NA,NA,NA,38.9246743583082,16.7906989434545,NA,NA
"78","Agmatine","Agmatine_X_RP",25,0.647887323943662,"KM1513-125m_C",NA,NA,NA,NA,NA,50.8591524894421,20.9168626130303,NA,NA
"79","Allopurinol","Allopurinol_X_RP",13,0.816901408450704,"KM1513-125m_C",NA,NA,NA,NA,NA,50.8591524894421,20.9168626130303,NA,NA
"80","Glutathione Disulfide","Glutathione Disulfide_X_RP",56,0.211267605633803,"KM1513-125m_C",NA,NA,NA,NA,NA,50.8591524894421,20.9168626130303,NA,NA
"81","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",27,0.619718309859155,"KM1513-125m_C",0.000185293237476915,0.00203822561224607,0.000926466187384576,0.000161763937479847,NA,50.8591524894421,20.9168626130303,4.00758862953759e-05,4.42927892449524e-05
"82","Kynurenine","Kynurenine_X_RP",57,0.197183098591549,"KM1513-125m_C",5.71681027736666e-05,0.000571681027736666,0.000114336205547333,4.53715101378307e-05,NA,50.8591524894421,20.9168626130303,1.12404749146251e-05,5.46622156786108e-06
"83","Sulfurol","Sulfurol_X_RP",44,0.380281690140845,"KM1513-125m_C",2.56776072483689e-05,0.000154065643490214,2.56776072483689e-05,1.22274320230328e-05,NA,50.8591524894421,20.9168626130303,3.02926092844737e-06,1.22760318903528e-06
"84","Vitamin B5","Vitamin B5_X_RP",71,0,"KM1513-125m_C",NA,NA,NA,NA,NA,50.8591524894421,20.9168626130303,NA,NA
"85","Agmatine","Agmatine_X_RP",66,0.214285714285714,"S11C1_A",NA,NA,NA,NA,NA,153.441886671701,26.3117210037901,NA,NA
"86","Allopurinol","Allopurinol_X_RP",15,0.821428571428571,"S11C1_A",NA,NA,NA,NA,NA,153.441886671701,26.3117210037901,NA,NA
"87","Glutathione Disulfide","Glutathione Disulfide_X_RP",76,0.0952380952380952,"S11C1_A",NA,NA,NA,NA,NA,153.441886671701,26.3117210037901,NA,NA
"88","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",21,0.75,"S11C1_A",0.000319107981558811,0.00351018779714692,0.00159553990779406,6.40732293579681e-05,0.000160905597800933,153.441886671701,26.3117210037901,2.28763336614675e-05,6.06398915359519e-05
"89","Kynurenine","Kynurenine_X_RP",80,0.0476190476190477,"S11C1_A",5.51237550405766e-05,0.000551237550405765,0.000110247510081153,1.0062017202208e-05,1.11181434127827e-05,153.441886671701,26.3117210037901,3.59248417992391e-06,4.19005317308102e-06
"90","Sulfurol","Sulfurol_X_RP",84,0,"S11C1_A",NA,NA,NA,NA,NA,153.441886671701,26.3117210037901,NA,NA
"91","Vitamin B5","Vitamin B5_X_RP",58,0.30952380952381,"S11C1_A",0.000253849370423059,0.00228464433380753,0.000253849370423059,4.17027660230638e-05,2.55999768478276e-05,153.441886671701,26.3117210037901,1.48893133639295e-05,9.64776763885924e-06
"92","Agmatine","Agmatine_X_RP",85,0.0659340659340659,"S12C1_A",NA,NA,NA,NA,NA,185.6640509116,33.7002994919052,NA,NA
"93","Allopurinol","Allopurinol_X_RP",21,0.769230769230769,"S12C1_A",NA,NA,NA,NA,NA,185.6640509116,33.7002994919052,NA,NA
"94","Glutathione Disulfide","Glutathione Disulfide_X_RP",78,0.142857142857143,"S12C1_A",NA,NA,NA,NA,NA,185.6640509116,33.7002994919052,NA,NA
"95","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",27,0.703296703296703,"S12C1_A",0.00130047640841047,0.0143052404925152,0.00650238204205234,0.000270292687624283,0.0006917427704311,185.6640509116,33.7002994919052,7.70490594289915e-05,0.000192947307296608
"96","Kynurenine","Kynurenine_X_RP",86,0.054945054945055,"S12C1_A",0.000113656198823075,0.00113656198823075,0.00022731239764615,2.14749549028012e-05,2.41821699623564e-05,185.6640509116,33.7002994919052,6.12160503150878e-06,6.74511506049822e-06
"97","Sulfurol","Sulfurol_X_RP",89,0.021978021978022,"S12C1_A",2.71802449221223e-06,1.63081469532734e-05,2.71802449221223e-06,3.081369287345e-07,2.89151541724706e-07,185.6640509116,33.7002994919052,8.78368584182094e-08,8.06528290012706e-08
"98","Vitamin B5","Vitamin B5_X_RP",79,0.131868131868132,"S12C1_A",0.000152862553274142,0.00137576297946728,0.000152862553274142,2.59945768439731e-05,1.62619737525683e-05,185.6640509116,33.7002994919052,7.40995886232344e-06,4.53594049841781e-06
"99","Agmatine","Agmatine_X_RP",65,0.285714285714286,"S12C1_B",NA,NA,NA,NA,NA,194.994639604711,33.2838289025635,NA,NA
"100","Allopurinol","Allopurinol_X_RP",20,0.78021978021978,"S12C1_B",NA,NA,NA,NA,NA,194.994639604711,33.2838289025635,NA,NA
"101","Glutathione Disulfide","Glutathione Disulfide_X_RP",78,0.142857142857143,"S12C1_B",NA,NA,NA,NA,NA,194.994639604711,33.2838289025635,NA,NA
"102","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",34,0.626373626373626,"S12C1_B",0.000897122511110129,0.00986834762221142,0.00448561255555065,0.000186459095365355,0.000477192825058579,194.994639604711,33.2838289025635,5.06083020652071e-05,0.000134768525841243
"103","Kynurenine","Kynurenine_X_RP",88,0.032967032967033,"S12C1_B",0.000154433544464472,0.00154433544464472,0.000308867088928944,2.91796966394846e-05,3.28582009498877e-05,194.994639604711,33.2838289025635,7.91988665829667e-06,9.27979439604545e-06
"104","Sulfurol","Sulfurol_X_RP",91,0,"S12C1_B",NA,NA,NA,NA,NA,194.994639604711,33.2838289025635,NA,NA
"105","Vitamin B5","Vitamin B5_X_RP",82,0.0989010989010989,"S12C1_B",0.000191413581291365,0.00172272223162228,0.000191413581291365,3.25502547306997e-05,2.03631469458899e-05,194.994639604711,33.2838289025635,8.83471584200748e-06,5.75094836149161e-06
"106","Agmatine","Agmatine_X_RP",58,0.30952380952381,"S13C1_A",NA,NA,NA,NA,NA,80.8954001193171,17.1944963467558,NA,NA
"107","Allopurinol","Allopurinol_X_RP",23,0.726190476190476,"S13C1_A",NA,NA,NA,NA,NA,80.8954001193171,17.1944963467558,NA,NA
"108","Glutathione Disulfide","Glutathione Disulfide_X_RP",71,0.154761904761905,"S13C1_A",NA,NA,NA,NA,NA,80.8954001193171,17.1944963467558,NA,NA
"109","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",20,0.761904761904762,"S13C1_A",0.00036876849214295,0.00405645341357245,0.00184384246071475,0.000136489011223838,0.000415279833494313,80.8954001193171,17.1944963467558,5.01444261056792e-05,0.000107234455928838
"110","Kynurenine","Kynurenine_X_RP",76,0.0952380952380952,"S13C1_A",1.4718101522634e-05,0.00014718101522634,2.9436203045268e-05,4.9522548864852e-06,6.62977546064595e-06,80.8954001193171,17.1944963467558,1.81939906359638e-06,1.71195494486362e-06
"111","Sulfurol","Sulfurol_X_RP",84,0,"S13C1_A",NA,NA,NA,NA,NA,80.8954001193171,17.1944963467558,NA,NA
"112","Vitamin B5","Vitamin B5_X_RP",67,0.202380952380952,"S13C1_A",4.50534428267363e-05,0.000405480985440627,4.50534428267363e-05,1.36433709771409e-05,1.01471718078235e-05,80.8954001193171,17.1944963467558,5.01241090151677e-06,2.62022462991403e-06
"113","Agmatine","Agmatine_X_RP",54,0.298701298701299,"S13C1_B",NA,NA,NA,NA,NA,85.3825959605244,19.0196365742338,NA,NA
"114","Allopurinol","Allopurinol_X_RP",24,0.688311688311688,"S13C1_B",NA,NA,NA,NA,NA,85.3825959605244,19.0196365742338,NA,NA
"115","Glutathione Disulfide","Glutathione Disulfide_X_RP",62,0.194805194805195,"S13C1_B",NA,NA,NA,NA,NA,85.3825959605244,19.0196365742338,NA,NA
"116","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",17,0.779220779220779,"S13C1_B",0.000919590191044191,0.0101154921014861,0.00459795095522096,0.000340359761153637,0.00103557453946418,85.3825959605244,19.0196365742338,0.000118472529298159,0.000241747571636037
"117","Kynurenine","Kynurenine_X_RP",71,0.0779220779220779,"S13C1_B",3.48393373276763e-05,0.000348393373276763,6.96786746553526e-05,1.17225226539961e-05,1.5693395192647e-05,85.3825959605244,19.0196365742338,4.08037925478207e-06,3.66351241168023e-06
"118","Sulfurol","Sulfurol_X_RP",77,0,"S13C1_B",NA,NA,NA,NA,NA,85.3825959605244,19.0196365742338,NA,NA
"119","Vitamin B5","Vitamin B5_X_RP",58,0.246753246753247,"S13C1_B",0.000104333338720657,0.00093900004848591,0.000104333338720657,3.15948872303469e-05,2.34984997118596e-05,85.3825959605244,19.0196365742338,1.09975579674345e-05,5.48555900705268e-06
"120","Agmatine","Agmatine_X_RP",63,0.171052631578947,"S14C1_A",NA,NA,NA,NA,NA,105.686908083729,23.2602041297094,NA,NA
"121","Allopurinol","Allopurinol_X_RP",34,0.552631578947368,"S14C1_A",NA,NA,NA,NA,NA,105.686908083729,23.2602041297094,NA,NA
"122","Glutathione Disulfide","Glutathione Disulfide_X_RP",58,0.236842105263158,"S14C1_A",NA,NA,NA,NA,NA,105.686908083729,23.2602041297094,NA,NA
"123","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",19,0.75,"S14C1_A",0.000615128950303281,0.0067664184533361,0.00307564475151641,0.00024835036027454,0.000801708346791757,105.686908083729,23.2602041297094,6.40232416296587e-05,0.000132227762678488
"124","Kynurenine","Kynurenine_X_RP",64,0.157894736842105,"S14C1_A",6.04996923383419e-05,0.000604996923383419,0.000120999384676684,2.22054259463041e-05,3.15401239379601e-05,105.686908083729,23.2602041297094,5.72442636796716e-06,5.20199152173973e-06
"125","Sulfurol","Sulfurol_X_RP",76,0,"S14C1_A",NA,NA,NA,NA,NA,105.686908083729,23.2602041297094,NA,NA
"126","Vitamin B5","Vitamin B5_X_RP",50,0.342105263157895,"S14C1_A",0.000145127872060143,0.00130615084854128,0.000145127872060143,4.79401379097668e-05,3.78295400746064e-05,105.686908083729,23.2602041297094,1.23586816212516e-05,6.23932065474767e-06
"127","Agmatine","Agmatine_X_RP",48,0.36,"S14C1_B",NA,NA,NA,NA,NA,120.436975721416,25.7954397030024,NA,NA
"128","Allopurinol","Allopurinol_X_RP",19,0.746666666666667,"S14C1_B",NA,NA,NA,NA,NA,120.436975721416,25.7954397030024,NA,NA
"129","Glutathione Disulfide","Glutathione Disulfide_X_RP",64,0.146666666666667,"S14C1_B",NA,NA,NA,NA,NA,120.436975721416,25.7954397030024,NA,NA
"130","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",29,0.613333333333333,"S14C1_B",0.000654434250169214,0.00719877675186135,0.00327217125084607,0.000264219366891104,0.000852935633298326,120.436975721416,25.7954397030024,5.97721481193026e-05,0.000126850764651444
"131","Kynurenine","Kynurenine_X_RP",66,0.12,"S14C1_B",0.000133455603643175,0.00133455603643175,0.000266911207286351,4.89827040316989e-05,6.95740113120118e-05,120.436975721416,25.7954397030024,1.10809494213698e-05,1.03472245621494e-05
"132","Sulfurol","Sulfurol_X_RP",73,0.0266666666666666,"S14C1_B",8.13963053272566e-07,4.8837783196354e-06,8.13963053272566e-07,1.79251122812902e-07,2.12170463922071e-07,120.436975721416,25.7954397030024,4.05504895019292e-08,3.1554532996692e-08
"133","Vitamin B5","Vitamin B5_X_RP",56,0.253333333333333,"S14C1_B",0.000201738645539634,0.0018156478098567,0.000201738645539634,6.66403934103828e-05,5.25859028159369e-05,120.436975721416,25.7954397030024,1.50755015142234e-05,7.82070970149632e-06
"134","Agmatine","Agmatine_X_RP",36,0.571428571428571,"S14C1_C",NA,NA,NA,NA,NA,101.19512047472,20.1972758445439,NA,NA
"135","Allopurinol","Allopurinol_X_RP",42,0.5,"S14C1_C",NA,NA,NA,NA,NA,101.19512047472,20.1972758445439,NA,NA
"136","Glutathione Disulfide","Glutathione Disulfide_X_RP",67,0.202380952380952,"S14C1_C",NA,NA,NA,NA,NA,101.19512047472,20.1972758445439,NA,NA
"137","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",21,0.75,"S14C1_C",0.000677052602317432,0.00744757862549175,0.00338526301158716,0.000273351234123262,0.000882414528250289,101.19512047472,20.1972758445439,7.35962227284691e-05,0.000167609881532695
