,Cruise,SampID,Dilution_Factor,Zone,AMorPM,Day_Extract,SampType,Station,Cast,Depth,Date,Latitude,Longitude,UTC,Time out water,Replicate,Niskin bottle,Volume,Notes,X15,X16,date,cruise,latitude,longitude,temp1,temp2,conductivity,salinity,NBorSB,PO4,NO3,SIO3,PP_ave,PP_Stdev,PC_ave,PC_Stdev,PN_ave,PN_Stdev
11,KOK1606,U1_A,3,,AM,0,U,5,1,15,4/23/16,NA,NA,4/23/16 18:30,8:30,A,-,15,just departed S5 (small),Underway,8:30 AM,4/23/16 18:30,KOK1606,29.450719,-158.03958,19.97709,19.90069,4.8185,35.24217,NB,0.0466,0.001,2.007,14.41142857,3.942090937,2.111428571,0.629270174,0.302857143,0.092504826
12,KOK1606,U1_B,3,,AM,0,U,5,1,15,4/23/16,NA,NA,4/23/16 18:30,8:30,B,-,15,just departed S5 (small),NA,NA,4/23/16 18:30,KOK1606,29.450719,-158.03958,19.97709,19.90069,4.8185,35.24217,NB,0.0466,0.001,2.007,14.41142857,3.942090937,2.111428571,0.629270174,0.302857143,0.092504826
13,KOK1606,U2_A,3,,PM,0,U,5.5,2,15,4/23/16,30 27,157 59,4/24/16 1:00,15:00,A,-,14.5,NA,Underway,3:00 PM,4/24/16 1:00,KOK1606,30.403468,-157.991936,20.05191,19.99343,4.82041,35.19513,NB,0.0466,0.001,2.007,14.46333333,0.715704781,2.52,0.09539392,0.326666667,0.015275252
14,KOK1606,U2_B,3,,PM,0,U,5.5,2,15,4/23/16,30 27,157 59,4/24/16 1:00,15:00,B,-,15.5,NA,NA,NA,4/24/16 1:00,KOK1606,30.403468,-157.991936,20.05191,19.99343,4.82041,35.19513,NB,0.0466,0.001,2.007,14.46333333,0.715704781,2.52,0.09539392,0.326666667,0.015275252
15,KOK1606,S6C1_A,3,2,AM,2,S,6,1,15,4/24/16,32 35,158 00,4/24/16 15:09,5:44,A,22,11,NA,NA,NA,4/24/16 15:09,KOK1606,32.583641,-158.00027,16.56412,16.48394,4.40344,34.6248,NB,0.0704,0.0612,3.438,27.68928571,7.841556423,3.505833333,0.935175806,0.586666667,0.179612377
16,KOK1606,S6C1_B,3,2,AM,3,S,6,1,15,4/24/16,32 35,158 00,4/24/16 15:09,5:44,B,21,11,NA,NA,NA,4/24/16 15:09,KOK1606,32.583641,-158.00027,16.56412,16.48394,4.40344,34.6248,NB,0.0704,0.0612,3.438,27.68928571,7.841556423,3.505833333,0.935175806,0.586666667,0.179612377
17,KOK1606,S6C1_C,3,2,AM,4,S,6,1,15,4/24/16,32 35,158 00,4/24/16 15:09,5:44,C,20,11,NA,NA,NA,4/24/16 15:09,KOK1606,32.583641,-158.00027,16.56412,16.48394,4.40344,34.6248,NB,0.0704,0.0612,3.438,27.68928571,7.841556423,3.505833333,0.935175806,0.586666667,0.179612377
18,KOK1606,S6C2_A,3,2,PM,1,S,6,2,15,4/24/16,32 41,157 59,4/25/16 1:33,16:05,A,20,10.5,NA,NA,NA,4/25/16 1:33,KOK1606,32.699814,-157.993171,17.33925,17.26199,4.49895,34.78928,NB,0.0704,0.0612,3.438,27.68928571,7.841556423,3.505833333,0.935175806,0.586666667,0.179612377
19,KOK1606,S6C2_B,3,2,PM,2,S,6,2,15,4/24/16,32 41,157 59,4/25/16 1:33,16:05,B,19,10.5,NA,NA,NA,4/25/16 1:33,KOK1606,32.699814,-157.993171,17.33925,17.26199,4.49895,34.78928,NB,0.0704,0.0612,3.438,27.68928571,7.841556423,3.505833333,0.935175806,0.586666667,0.179612377
20,KOK1606,U3_A,3,2,AM,3,U,6.6,3,15,4/25/16,34 32,157 59,4/25/16 19:45,-,A,-,15.5,NA,NA,NA,4/25/16 19:45,KOK1606,34.533075,-157.997757,15.33668,15.2449,4.27015,34.50786,NB,0.2189,2.3227,5.418,32.70666667,2.959904278,2.943333333,0.833626615,0.513333333,0.130128142
21,KOK1606,U3_B,3,2,AM,4,U,6.6,3,15,4/25/16,34 32,157 59,4/25/16 19:45,-,B,-,15,NA,NA,NA,4/25/16 19:45,KOK1606,34.533075,-157.997757,15.33668,15.2449,4.27015,34.50786,NB,0.2189,2.3227,5.418,32.70666667,2.959904278,2.943333333,0.833626615,0.513333333,0.130128142
22,KOK1606,U4_A,3,2,PM,1,U,7.3,4,15,4/25/16,35 30,158 00,4/26/16 2:33,-,A,-,13.5,NA,NA,NA,4/26/16 2:33,KOK1606,35.493484,-158.006387,13.98298,13.76651,4.1136,34.27148,NB,0.2189,2.3227,5.418,20.4075,12.61994288,3.205,1.864501721,0.56,0.358608422
23,KOK1606,U4_B,3,2,PM,2,U,7.3,4,15,4/25/16,35 30,158 00,4/26/16 2:33,-,B,-,12,NA,NA,NA,4/26/16 2:33,KOK1606,35.493484,-158.006387,13.98298,13.76651,4.1136,34.27148,NB,0.2189,2.3227,5.418,20.4075,12.61994288,3.205,1.864501721,0.56,0.358608422
24,KOK1606,S8C1_A,3,3,AM,3,S,8,1,15,4/26/16,37 17,157 59,4/26/16 15:10,5:48,A,12,10.5,NA,NA,NA,4/26/16 15:10,KOK1606,37.299396,-158.000717,11.53805,11.45827,3.87055,34.16493,NB,0.4846,5.8747,9.157,46.21714286,3.147463075,4.986666667,0.676392391,0.926666667,0.124525767
25,KOK1606,S8C1_B,3,3,AM,4,S,8,1,15,4/26/16,37 17,157 59,4/26/16 15:10,5:48,B,10,10.5,NA,NA,NA,4/26/16 15:10,KOK1606,37.299396,-158.000717,11.53805,11.45827,3.87055,34.16493,NB,0.4846,5.8747,9.157,46.21714286,3.147463075,4.986666667,0.676392391,0.926666667,0.124525767
26,KOK1606,S9C1_A,3,3,AM,1,S,9,1,15,4/27/16,36 34,158 00,4/27/16 15:12,5:50,A,22,11.5,NA,NA,NA,4/27/16 15:12,KOK1606,36.569491,-158.003614,12.1044,12.01803,3.92271,34.15415,SB,0.5065,5.6769,9.371,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
27,KOK1606,S9C1_B,3,3,AM,2,S,9,1,15,4/27/16,36 34,158 00,4/27/16 15:12,5:50,B,21,11,NA,NA,NA,4/27/16 15:12,KOK1606,36.569491,-158.003614,12.1044,12.01803,3.92271,34.15415,SB,0.5065,5.6769,9.371,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
28,KOK1606,S9C2_A,3,3,PM,3,S,9,2,15,4/27/16,36 34,158 00,4/28/16 3:43,18:15,A,20,10,NA,NA,NA,4/28/16 3:43,KOK1606,36.567248,-157.999496,12.09634,12.01081,3.91255,34.06288,SB,0.5065,5.6769,9.371,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
29,KOK1606,S9C2_B,3,3,PM,4,S,9,2,15,4/27/16,36 34,158 00,4/28/16 3:43,18:15,B,19,10,NA,NA,NA,4/28/16 3:43,KOK1606,36.567248,-157.999496,12.09634,12.01081,3.91255,34.06288,SB,0.5065,5.6769,9.371,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
30,KOK1606,S11C1_A,3,3,PM,3,S,11,1,15,4/28/16,36 34,157 58,4/29/16 6:40,21:12,A,23,10,9 pm hybrid cast,NA,NA,4/29/16 6:40,KOK1606,36.571243,-157.995725,12.2766,12.18092,3.9299,34.06668,SB,0.5133,5.7146,9.153,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
31,KOK1606,S11C1_B,3,3,PM,4,S,11,1,15,4/28/16,36 34,157 58,4/29/16 6:40,21:12,B,19,10,NA,NA,NA,4/29/16 6:40,KOK1606,36.571243,-157.995725,12.2766,12.18092,3.9299,34.06668,SB,0.5133,5.7146,9.153,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
32,KOK1606,U6_A,3,3,PM,1,U,11.1,6,15,4/29/16,36 27,157 57,4/29/16 10:00,0:32,A,-,10,At s11: cusp between no pro and pro max; here: pro max,Underway,Aft tap,4/29/16 10:00,KOK1606,36.455193,-157.957568,13.50867,13.41609,4.06746,34.26435,SB,0.5133,5.7146,9.153,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
33,KOK1606,U6_B,3,3,PM,2,U,11.1,6,15,4/29/16,36 27,157 57,4/29/16 10:00,-,B,-,10.5,NA,NA,NA,4/29/16 10:00,KOK1606,36.455193,-157.957568,13.50867,13.41609,4.06746,34.26435,SB,0.5133,5.7146,9.153,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
34,KOK1606,U7_A,3,3,PM,3,U,11.2,7,15,4/29/16,36 22,157 59,4/29/16 11:14,-,A,-,10,pro descending,Underway,Aft tap,4/29/16 11:14,KOK1606,36.366833,-157.972134,13.0263,12.94681,4.01275,34.18138,SB,0.5133,5.7146,9.153,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
35,KOK1606,U7_B,3,3,PM,4,U,11.2,7,15,4/29/16,36 22,157 59,4/29/16 11:14,-,B,-,10,NA,NA,NA,4/29/16 11:14,KOK1606,36.366833,-157.972134,13.0263,12.94681,4.01275,34.18138,SB,0.5133,5.7146,9.153,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
36,KOK1606,U8_A,3,3,PM,1,U,11.3,8,15,4/29/16,36 18,157 59,4/29/16 12:15,-,A,-,10,pro/syn ratio local low; used mesh pre-filter,Underway,Aft tap,4/29/16 12:15,KOK1606,36.296547,-157.991993,13.9375,13.84815,4.11858,34.35845,SB,0.5133,5.7146,9.153,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
37,KOK1606,U8_B,3,3,PM,2,U,11.3,8,15,4/29/16,36 18,157 59,4/29/16 12:15,-,B,-,10,NA,NA,NA,4/29/16 12:15,KOK1606,36.296547,-157.991993,13.9375,13.84815,4.11858,34.35845,SB,0.5133,5.7146,9.153,45.26227273,12.96457662,5.4784,1.69004852,0.9916,0.309740214
38,KOK1606,U9_A,3,3,PM,3,U,11.4,9,15,4/29/16,36 17,157 59,4/29/16 13:19,-,A,-,10,pro high,Underway,Aft tap,4/29/16 13:18,KOK1606,36.221701,-157.998186,14.34028,14.24619,4.16186,34.4005,SB,0.5133,5.7146,9.153,40.86888889,9.547345763,5.155833333,1.286909323,0.91,0.212431807
39,KOK1606,U9_B,3,3,PM,2,U,11.4,9,15,4/29/16,36 17,157 59,4/29/16 13:19,-,B,-,10,NA,NA,NA,4/29/16 13:18,KOK1606,36.221701,-157.998186,14.34028,14.24619,4.16186,34.4005,SB,0.5133,5.7146,9.153,40.86888889,9.547345763,5.155833333,1.286909323,0.91,0.212431807
40,KOK1606,S12C1_A,3,2,AM,1,S,12,1,15,4/30/16,33 05,158 00,4/30/16 15:05,5:32,A,17,10,NA,NA,NA,4/30/16 15:04,KOK1606,33.090833,-158.002214,16.16496,16.07636,4.35081,34.5061,SB,0.1309,0.9996,4.744,46.87,5.279438101,5.2925,1.471968636,0.94,0.212289111
41,KOK1606,S12C1_B,3,2,AM,2,S,12,1,15,4/30/16,33 05,158 00,4/30/16 15:05,5:32,B,16,10,NA,NA,NA,4/30/16 15:04,KOK1606,33.090833,-158.002214,16.16496,16.07636,4.35081,34.5061,SB,0.1309,0.9996,4.744,46.87,5.279438101,5.2925,1.471968636,0.94,0.212289111
42,KOK1606,S13C1_A,3,1,AM,3,S,13,1,15,5/1/16,29 42,158 00,5/1/16 15:02,5:25,A,16,10,dropped bottle,NA,NA,5/1/16 15:01,KOK1606,29.700608,-157.999422,21.01675,20.93116,4.91777,35.18368,SB,0.0238,0.0078,2.007,18.72,6.028171365,2.972,0.159279628,0.444,0.033615473
43,KOK1606,S13C1_B,3,1,AM,1,S,13,1,15,5/1/16,29 42,158 00,5/1/16 15:02,5:25,B,17,10,NA,NA,NA,5/1/16 15:01,KOK1606,29.700608,-157.999422,21.01675,20.93116,4.91777,35.18368,SB,0.0238,0.0078,2.007,18.72,6.028171365,2.972,0.159279628,0.444,0.033615473
44,KOK1606,S14C1_A,3,1,AM,1,S,14,1,15,5/2/16,26 17,158 00,5/2/16 15:05,5:37,A,20,10,NA,NA,NA,5/2/16 15:04,KOK1606,26.283176,-157.998902,23.13706,23.04788,5.15748,35.34348,SB,0.025,0.0018,1.636,15.43333333,3.804730608,2.724545455,0.351008935,0.383636364,0.051433982
45,KOK1606,S14C1_B,3,1,AM,2,S,14,1,15,5/2/16,26 17,158 00,5/2/16 15:05,5:37,B,21,10,NA,NA,NA,5/2/16 15:04,KOK1606,26.283176,-157.998902,23.13706,23.04788,5.15748,35.34348,SB,0.025,0.0018,1.636,15.43333333,3.804730608,2.724545455,0.351008935,0.383636364,0.051433982
46,KOK1606,S14C1_C,3,1,AM,3,S,14,1,15,5/2/16,26 17,158 00,5/2/16 15:05,5:37,C,22,10,NA,NA,NA,5/2/16 15:04,KOK1606,26.283176,-157.998902,23.13706,23.04788,5.15748,35.34348,SB,0.025,0.0018,1.636,15.43333333,3.804730608,2.724545455,0.351008935,0.383636364,0.051433982
,KM1513,KM1513-15m_A,1,1,PM,,S,ALOHA_DP_15m,,15,7/31/15,,,7/31/15 7:51,,A,,10.7,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,3.47,,,
,KM1513,KM1513-15m_B,1,1,PM,,S,ALOHA_DP_15m,,15,7/31/15,,,7/31/15 7:51,,B,,10.7,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,3.47,,,
,KM1513,KM1513-15m_C     ,1,1,PM,,S,ALOHA_DP_15m,,15,7/31/15,,,7/31/15 7:51,,C,,10.7,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,3.47,,,
,KM1513,KM1513-45m_A,1,1,PM,,S,ALOHA_DP_45m,,45,7/31/15,,,7/31/15 7:51,,A,,9,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,3.01,,,
,KM1513,KM1513-45m_B,1,1,PM,,S,ALOHA_DP_45m,,45,7/31/15,,,7/31/15 7:51,,B,,9,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,3.01,,,
,KM1513,KM1513-45m_C     ,1,1,PM,,S,ALOHA_DP_45m,,45,7/31/15,,,7/31/15 7:51,,C,,9,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,3.01,,,
,KM1513,KM1513-75m_A,1,1,PM,,S,ALOHA_DP_75m,,75,7/31/15,,,7/31/15 7:51,,A,,12.7,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,2.05,,,
,KM1513,KM1513-75m_B,1,1,PM,,S,ALOHA_DP_75m,,75,7/31/15,,,7/31/15 7:51,,B,,12.7,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,2.05,,,
,KM1513,KM1513-75m_C     ,1,1,PM,,S,ALOHA_DP_75m,,75,7/31/15,,,7/31/15 7:51,,C,,12.7,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,2.05,,,
,KM1513,KM1513-125m_A,1,1,PM,,S,ALOHA_DP_125m,,125,7/31/15,,,7/31/15 7:51,,A,,12.17,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,1.26,,,
,KM1513,KM1513-125m_B,1,1,PM,,S,ALOHA_DP_125m,,125,7/31/15,,,7/31/15 7:51,,B,,12.17,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,1.26,,,
,KM1513,KM1513-125m_C     ,1,1,PM,,S,ALOHA_DP_125m,,125,7/31/15,,,7/31/15 7:51,,C,,12.17,,,,7/31/15 7:51,KM1513,24.5548,-156.3298,,,,,,,,,,,1.26,,,
,MGL1704,S7E41D30_1,2,3,PM,,S,North_DP_30m,,30,6/3/17,,,6/4/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D40_1,2,3,PM,,S,North_DP_40m,,40,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D60_1,2,3,PM,,S,North_DP_60m,,60,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D80_1,2,3,PM,,S,North_DP_80m,,80,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D100_1,2,3,PM,,S,North_DP_100m,,100,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D120_1,2,3,PM,,S,North_DP_120m,,120,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D140_1,2,3,PM,,S,North_DP_140m,,140,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D160_1,2,3,PM,,S,North_DP_160m,,160,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D180_1,2,3,PM,,S,North_DP_180m,,180,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
,MGL1704,S7E41D250_1,2,3,PM,,S,North_DP_250m,,250,6/3/17,,,6/8/17 19:50,,A,,4,,,,6/3/17 7:51,MGL1704,41.417,-158,,,,,,,,,,,,,,
