CultureID,CultureID_short,Org_Name,Org_Type,Org_Type_Specific,BioVol_perFilter_uL,Species,strain,volume_reconst,HILIC_injectVol,RP_injectVolume,DateRun_HILIC,DateRun_RP,RP_stdVolpersmpVol,Cell_volume_um3,,Cells filtered,log(pgC/cell)_MDLcalc,nmolC_on_filter_MDLcalc,C_perVolume_mmol/L_HoCalc,nmolC_on_filter_Hocalc,pgC/cel_White,nmolC_on_filter_WhiteCalc,pgC/cel_Feng2008,nmolC_on_filter_WhiteCalc,fmolC/cell_Dron2011,nmolC_on_filter_DronCalc,nmolC_filtered_final,Method
As9601_A,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.452556309,Prochlorococcus marinus,AS9601,400,2,,170821,170828,3,0.18,,2514201714,,,,,0.05,10476,,,,,10476,"White, direct"
As9601_B,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.487486222,Prochlorococcus marinus,AS9601,400,2,,170821,170828,3,0.18,,2708256789,,,,,0.05,11284,,,,,11284,"White, direct"
As9601_C,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.467084563,Prochlorococcus marinus,AS9601,400,2,,170821,170828,3,0.18,,2594914240,,,,,0.05,10812,,,,,10812,"White, direct"
MED4_D,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.390883343,Prochlorococcus marinus,MED4,400,2,,161114,161118,1.5,0.18,,2171574129,,,,,0.03,5429,,,,,5429,"White, direct"
MED4_E,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.346499459,Prochlorococcus marinus,MED4,400,2,,161114,161118,1.5,0.18,,1924996997,,,,,0.03,4812,,,,,4812,"White, direct"
MED4_F,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.395070736,Prochlorococcus marinus,MED4,400,2,,161114,161118,1.5,0.18,,2194837423,,,,,0.03,5487,,,,,5487,"White, direct"
Nat_A,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.062888292,Prochlorococcus marinus,NATL2A,400,2,,170821,170828,3,0.25,,"251,553,166",,,,,0.09,1887,,,,,1887,"White, direct"
Nat_B,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.054405,Prochlorococcus marinus,NATL2A,400,2,,170821,170828,3,0.25,,"217,620,000",,,,,0.09,1632,,,,,1632,"White, direct"
Nat_C,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.054925488,Prochlorococcus marinus,NATL2A,400,2,,170821,170828,3,0.25,,"219,701,954",,,,,0.09,1648,,,,,1648,"White, direct"
Cy_A,Cy,Cyclotella meneghiniana CCMP 338,Diatom,Diatom,7.0207956,Cyclotella meneghiniana,338,400,2,,161107,161110,3,140,,50148540,1.199509837,66159,,,,,,,,,66159,"Mendel-Deuer, estimate"
Cy_B,Cy,Cyclotella meneghiniana CCMP 338,Diatom,Diatom,2.285525455,Cyclotella meneghiniana,338,400,2,,161107,161110,3,140,,16325181.82,1.199509837,21537,,,,,,,,,21537,"Mendel-Deuer, estimate"
Cy_C,Cy,Cyclotella meneghiniana CCMP 338,Diatom,Diatom,4.9629762,Cyclotella meneghiniana,338,400,2,,161107,161110,3,140,,35449830,1.199509837,46767,,,,,,,,,46767,"Mendel-Deuer, estimate"
Np_A,Np,Navicula pelliculosa CCMP543,Diatom,Diatom,4.429566,Navicula pelliculosa,543,400,2,,170213,170216,3,50,,88591320,0.836864674,50708,,,8.22,60685,,,,,60685,"White, direct"
Np_C,Np,Navicula pelliculosa CCMP543,Diatom,Diatom,5.07693,Navicula pelliculosa,543,400,2,,170213,170216,3,50,,101538600,0.836864674,58119,,,8.22,69554,,,,,69554,"White, direct"
Np_F,Np,Navicula pelliculosa CCMP543,Diatom,Diatom,5.69769,Navicula pelliculosa,543,400,2,,170213,170216,3,50,,113953800,0.836864674,65225,,,8.22,78058,,,,,78058,"White, direct"
Pc55x_A,PC55x,Pseudo-nitzschia pungens Pc55x,Diatom,Diatom,3.980689655,Pseudo-nitzschia pungens,Pc55x,400,2,,170213,170216,3,1600,,2487931.034,2.057541306,23670,,,,,,,,,23670,"Mendel-Deuer, estimate"
Pc55x_B,PC55x,Pseudo-nitzschia pungens Pc55x,Diatom,Diatom,4.154482759,Pseudo-nitzschia pungens,Pc55x,400,2,,170213,170216,3,1600,,2596551.724,2.057541306,24703,,,,,,,,,24703,"Mendel-Deuer, estimate"
Pc55x_C,PC55x,Pseudo-nitzschia pungens Pc55x,Diatom,Diatom,2.532631579,Pseudo-nitzschia pungens,Pc55x,400,2,,170213,170216,3,1600,,1582894.737,2.057541306,15060,,,,,,,,,15060,"Mendel-Deuer, estimate"
Pt_C,Pt,Phaeodactylum tricornutum CCMP2561,Diatom,Diatom,52.49856,Phaeodactylum tricornutum,2561,400,2,,170213,170216,3,400,,131246400,1.569270653,405674,,,11.49,125668,,,,,125668,"White, direct"
Pt_F,Pt,Phaeodactylum tricornutum CCMP2561,Diatom,Diatom,55.51368,Phaeodactylum tricornutum,2561,400,2,,170213,170216,3,400,,138784200,1.569270653,428972,,,11.49,132886,,,,,132886,"White, direct"
To_A,To,Thalassiosira oceanica CCMP 1005,Diatom,Diatom,10.10952,Thalassiosira oceanica,1005,400,2,,161107,161110,3,150,,67396800,1.223810011,94030,,,,,,,,,94030,"Mendel-Deuer, estimate"
To_B,To,Thalassiosira oceanica CCMP 1005,Diatom,Diatom,13.26875,Thalassiosira oceanica,1005,400,2,,161107,161110,3,150,,88458300,1.223810011,123415,,,,,,,,,123415,"Mendel-Deuer, estimate"
To_C,To,Thalassiosira oceanica CCMP 1005,Diatom,Diatom,12.20459,Thalassiosira oceanica,1005,400,2,,161107,161110,3,150,,81363900,1.223810011,113517,,,,,,,,,113517,"Mendel-Deuer, estimate"
Tp_A,Tp,Thalassiosira pseudonana CCMP1335,Diatom,Diatom,4.40222,Thalassiosira pseudonana,1335,400,2,,161107,161110,3,60,,73370383.33,0.901080664,48688,,,21.84,133534,,,,,133534,"White, direct"
Tp_E,Tp,Thalassiosira pseudonana CCMP1335,Diatom,Diatom,3.13927,Thalassiosira pseudonana,1335,400,2,,161107,161110,3,60,,52321200,0.901080664,34720,,,21.84,95225,,,,,95225,"White, direct"
Tp_F,Tp,Thalassiosira pseudonana CCMP1335,Diatom,Diatom,6.36368,Thalassiosira pseudonana,1335,400,2,,161107,161110,3,60,,106061280,0.901080664,70381,,,21.84,193032,,,,,193032,"White, direct"
1314_A,1314,Amphidinium carterae CCMP1314,Dinoflagellate,Dinoflagellate,0.56953488,Amphidinium carterae,1314,400,2,,170821,170828,3,634,,"898,320",2.068005119,8755,1200,0,,,,,,,8755,"Mendel-Deuer, estimate"
1314_B,1314,Amphidinium carterae CCMP1314,Dinoflagellate,Dinoflagellate,0.5827728,Amphidinium carterae,1314,400,2,,170821,170828,3,634,,"919,200",2.068005119,8958,1200,699,,,,,,,8958,"Mendel-Deuer, estimate"
1314_C,1314,Amphidinium carterae CCMP1314,Dinoflagellate,Dinoflagellate,0.66859104,Amphidinium carterae,1314,400,2,,170821,170828,3,634,,"1,054,560",2.068005119,10278,1200,802,,,,,,,10278,"Mendel-Deuer, estimate"
1771_A,1771,Alexandrium tamarense CCMP1771,Dinoflagellate,Dinoflagellate,0.45029728,Alexandrium tamarense ,1771,400,2,,170821,170828,3,17266,,26080,3.30793366,4416,,,,,,,,,4416,"Mendel-Deuer, estimate"
1771_B,1771,Alexandrium tamarense CCMP1771,Dinoflagellate,Dinoflagellate,0.39780864,Alexandrium tamarense ,1771,400,2,,170821,170828,3,17266,,23040,3.30793366,3902,,,,,,,,,3902,"Mendel-Deuer, estimate"
1771_C,1771,Alexandrium tamarense CCMP1771,Dinoflagellate,Dinoflagellate,0.23205504,Alexandrium tamarense ,1771,400,2,,170821,170828,3,17266,,13440,3.30793366,2276,,,,,,,,,2276,"Mendel-Deuer, estimate"
2021_A,2021,Lingulodinium polyedra CCMP2021,Dinoflagellate,Dinoflagellate,2.75917726,Lingulodinium polyedra,2021,400,2,,170821,170828,3,20551,,134260,3.373287677,26427,,,,,,,,,26427,"Mendel-Deuer, estimate"
2021_B,2021,Lingulodinium polyedra CCMP2021,Dinoflagellate,Dinoflagellate,5.11555492,Lingulodinium polyedra,2021,400,2,,170821,170828,3,20551,,248920,3.373287677,48997,,,,,,,,,48997,"Mendel-Deuer, estimate"
2021_C,2021,Lingulodinium polyedra CCMP2021,Dinoflagellate,Dinoflagellate,1.53228256,Lingulodinium polyedra,2021,400,2,,170821,170828,3,20551,,74560,3.373287677,14676,,,,,,,,,14676,"Mendel-Deuer, estimate"
449_A,449,Heterocapsa triquetra CCMP449,Dinoflagellate,Dinoflagellate,0.33903,Heterocapsa triquetra,449,400,2,,170821,170828,3,1984,,170880,2.496076001,4463,,,,,,,,,4463,"Mendel-Deuer, estimate"
449_B,449,Heterocapsa triquetra CCMP449,Dinoflagellate,Dinoflagellate,0.48124,Heterocapsa triquetra,449,400,2,,170821,170828,3,1984,,242560,2.496076001,6335,,,,,,,,,6335,"Mendel-Deuer, estimate"
449_C,449,Heterocapsa triquetra CCMP449,Dinoflagellate,Dinoflagellate,0.55139,Heterocapsa triquetra,449,400,2,,170821,170828,3,1984,,277920,2.496076001,7258,,,,,,,,,7258,"Mendel-Deuer, estimate"
2090_A,2090,Emiliania huxleyi CCMP2090,Haptophyte,Haptophyte,0.29131,Emiliania huxleyi,2090,400,2,,161107,161110,3,40,,"7,282,845",0.798251932,3814,10000,2913,245.46,148971,9,5462,,,3814,"Mendel-Deuer, estimate"
2090_B,2090,Emiliania huxleyi CCMP2090,Haptophyte,Haptophyte,0.33255,Emiliania huxleyi,2090,400,2,,161107,161110,3,40,,"8,313,750",0.798251932,4354,10000,3326,245.46,170058,9,6235,,,4354,"Mendel-Deuer, estimate"
2090_C,2090,Emiliania huxleyi CCMP2090,Haptophyte,Haptophyte,0.381324,Emiliania huxleyi,2090,400,2,,161107,161110,3,40,,"9,533,100",0.798251932,4992,10000,3813,245.46,195000,9,7150,,,4992,"Mendel-Deuer, estimate"
371_A,371,Emiliania huxleyi CCMP371,Haptophyte,Haptophyte,0.365805,Emiliania huxleyi,371,400,2,,161107,161110,3,40,,9145125,0.798251932,4789,10000,3658,245.46,187064,20,15242,,,4789,"Mendel-Deuer, estimate"
371_B,371,Emiliania huxleyi CCMP371,Haptophyte,Haptophyte,0.380920909,Emiliania huxleyi,371,400,2,,161107,161110,3,40,,9523022.727,0.798251932,4987,10000,3809,245.46,194793,20,15872,,,4987,"Mendel-Deuer, estimate"
371_C,371,Emiliania huxleyi CCMP371,Haptophyte,Haptophyte,0.294256364,Emiliania huxleyi,371,400,2,,161107,161110,3,40,,7356409.091,0.798251932,3852,10000,2943,245.46,150475,20,12261,,,3852,"Mendel-Deuer, estimate"
1545_A,1545,Micromonas pusilla CCMP1545,Prasinophyte,Prasinophyte,0.557926221,Micromonas pusilla,1545,400,2,,170821,170828,3,4,,139481555.3,-0.323441923,794797,,,5.67,65905,,,,,65905,"White, direct"
1545_B,1545,Micromonas pusilla CCMP1545,Prasinophyte,Prasinophyte,0.571037924,Micromonas pusilla,1545,400,2,,170821,170828,3,4,,142759481,-0.323441923,813475,,,5.67,67454,,,,,67454,"White, direct"
1545_C,1545,Micromonas pusilla CCMP1545,Prasinophyte,Prasinophyte,0.536432713,Micromonas pusilla,1545,400,2,,170821,170828,3,4,,134108178.4,-0.323441923,764178,,,5.67,63366,,,,,63366,"White, direct"
3430_A,3430,Ostreococcus lucimarinus CCMP3430,Prasinophyte,Prasinophyte,0.169351485,Ostreococcus lucimarinus,3430,400,2,,180227,180302,1.5,1,,169351485.1,-0.545,579389,,,0.70,9879,,,,,9879,"White, modeled"
3430_B,3430,Ostreococcus lucimarinus CCMP3430,Prasinophyte,Prasinophyte,0.172402985,Ostreococcus lucimarinus,3430,400,2,,180227,180302,1.5,1,,172402985.1,-0.545,589829,,,0.70,10057,,,,,10057,"White, modeled"
3430_C,3430,Ostreococcus lucimarinus CCMP3430,Prasinophyte,Prasinophyte,0.175519802,Ostreococcus lucimarinus,3430,400,2,,180227,180302,1.5,1,,175519802,-0.545,600492,,,0.70,10239,,,,,10239,"White, modeled"
